Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2023 12:00,14/2/2023 16:00,14/2/2023 20:00,15/2/2023 00:00,15/2/2023 04:00,15/2/2023 08:00,15/2/2023 12:00,15/2/2023 16:00,15/2/2023 20:00,16/2/2023 00:00,16/2/2023 04:00,16/2/2023 08:00,16/2/2023 12:00,16/2/2023 16:00,16/2/2023 20:00,17/2/2023 00:00,17/2/2023 04:00,17/2/2023 08:00,17/2/2023 12:00,17/2/2023 16:00,17/2/2023 20:00,18/2/2023 00:00,18/2/2023 04:00,18/2/2023 08:00,18/2/2023 12:00,18/2/2023 16:00,18/2/2023 20:00,19/2/2023 00:00,19/2/2023 04:00,19/2/2023 08:00,19/2/2023 12:00,19/2/2023 16:00,19/2/2023 20:00,20/2/2023 00:00,20/2/2023 04:00,20/2/2023 08:00,20/2/2023 12:00,20/2/2023 16:00,20/2/2023 20:00,21/2/2023 00:00,21/2/2023 04:00,21/2/2023 08:00,21/2/2023 12:00,21/2/2023 16:00,21/2/2023 20:00,22/2/2023 00:00,22/2/2023 04:00,22/2/2023 08:00,22/2/2023 12:00,22/2/2023 16:00,22/2/2023 20:00,23/2/2023 00:00,23/2/2023 04:00,23/2/2023 08:00,23/2/2023 12:00,23/2/2023 16:00,23/2/2023 20:00,24/2/2023 00:00,24/2/2023 04:00,24/2/2023 08:00,24/2/2023 12:00,24/2/2023 16:00,24/2/2023 20:00,25/2/2023 00:00,25/2/2023 04:00,25/2/2023 08:00,25/2/2023 12:00,25/2/2023 16:00,25/2/2023 20:00,26/2/2023 00:00,26/2/2023 04:00,26/2/2023 08:00,26/2/2023 12:00,26/2/2023 16:00,26/2/2023 20:00,27/2/2023 00:00,27/2/2023 04:00,27/2/2023 08:00,27/2/2023 12:00,27/2/2023 16:00,27/2/2023 20:00,28/2/2023 00:00,28/2/2023 04:00,28/2/2023 08:00,28/2/2023 12:00,28/2/2023 16:00,28/2/2023 20:00,1/3/2023 00:00,1/3/2023 04:00,1/3/2023 08:00,1/3/2023 12:00,1/3/2023 16:00,1/3/2023 20:00,2/3/2023 00:00,2/3/2023 04:00,2/3/2023 08:00,2/3/2023 12:00,2/3/2023 16:00,2/3/2023 20:00,3/3/2023 00:00,3/3/2023 04:00,3/3/2023 08:00,3/3/2023 12:00,3/3/2023 16:00,3/3/2023 20:00,4/3/2023 00:00,4/3/2023 04:00,4/3/2023 08:00,4/3/2023 12:00,4/3/2023 16:00,4/3/2023 20:00,5/3/2023 00:00,5/3/2023 04:00,5/3/2023 08:00,5/3/2023 12:00,5/3/2023 16:00,5/3/2023 20:00,6/3/2023 00:00,6/3/2023 04:00,6/3/2023 08:00,6/3/2023 12:00,6/3/2023 16:00,6/3/2023 20:00,7/3/2023 00:00,7/3/2023 04:00,7/3/2023 08:00,7/3/2023 12:00,7/3/2023 16:00,7/3/2023 20:00
940 110012305980,w1637,940 110016191551,w192406,No Shade,,31,9,2,4,6,7,1,,2,2,9,,6,22,2,,10,2,2,5,1,4,40,5,10,4,2,9,11,12,6,2,3,4,4,1,4,8,3,5,18,14,4,1,7,2,5,17,9,8,5,2,7,9,20,2,1,5,31,11,4,3,4,8,10,9,9,5,21,1,6,5,9,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 110012305980,w1637,940 110012553757,w736,No Shade,,3,10,3,1,1,8,3,11,6,1,1,,5,2,1,,4,,6,7,7,1,4,18,3,20,21,9,4,20,3,8,5,6,1,15,28,2,,3,7,14,2,7,9,1,20,1,2,3,9,7,16,16,3,6,3,5,2,2,10,5,17,4,7,1,4,8,6,6,10,4,9,14,13,7,10,9,5,7,9,16,19,22,9,3,2,7,4,5,6,2,8,9,19,,4,11,8,7,19,13,3,38,1,6,9,7,4,5,28,26,2,5,1,7,1,16,17,19,9,12,,,,,,
940 110012305980,w1637,940 110006544051,2328,No Shade,,10,5,4,2,28,8,3,,6,1,3,4,9,8,4,1,16,26,2,3,3,3,25,7,3,16,1,4,14,16,9,5,6,4,11,,3,7,1,4,6,7,8,6,4,31,3,8,5,7,5,7,13,24,13,3,15,2,9,11,7,21,13,5,15,17,5,8,12,6,6,5,17,8,1,3,6,13,7,9,10,28,5,5,6,6,4,4,5,19,27,17,35,8,26,26,3,6,3,4,14,13,9,15,4,38,8,7,5,14,3,5,10,62,5,7,5,,48,74,31,1,,,,,,
940 110012305980,w1637,940 110009539429,MU2938,No Shade,,6,9,7,2,22,2,,10,7,3,1,5,8,3,3,2,8,9,7,4,3,3,20,7,20,3,19,1,4,18,8,4,11,16,2,2,11,9,6,8,8,24,11,6,14,9,5,14,15,5,9,5,15,18,12,17,4,6,4,19,3,6,8,10,6,23,2,4,5,8,29,13,42,8,9,5,1,12,16,8,7,28,18,19,35,11,33,7,20,39,8,4,11,10,10,29,13,2,7,9,10,15,6,10,36,4,,40,18,18,8,7,1,25,8,9,1,1,24,24,11,14,,,,,,
940 110012305980,w1637,940 110012566807,2696,No Shade,,8,7,2,2,4,15,17,2,5,4,3,23,2,11,1,12,10,3,14,4,2,,12,7,3,7,1,5,10,22,2,6,2,2,1,5,12,2,2,5,7,9,3,6,1,5,11,17,39,16,2,5,,20,21,5,,1,2,3,17,2,6,8,2,4,4,2,1,5,34,2,22,2,2,,15,29,10,12,61,9,33,55,7,13,31,9,10,14,3,4,8,2,3,8,1,3,6,17,19,27,18,3,11,1,2,1,8,5,1,9,7,3,6,2,15,12,7,76,1,,,,,,,
940 110012305980,w1637,940 110009422847,2024,No Shade,,1,10,8,5,2,9,2,3,3,2,7,13,5,8,3,2,19,2,5,29,4,,1,,9,9,9,7,3,24,6,5,5,1,3,2,3,5,3,18,14,7,3,8,3,2,5,13,6,6,4,6,,5,23,11,,5,,2,9,6,10,4,17,14,13,7,16,5,3,6,4,3,8,4,,16,7,5,12,24,5,,1,6,3,11,12,10,8,2,8,3,9,1,5,6,13,5,11,6,8,14,7,5,8,4,9,5,8,12,14,15,11,3,1,,5,26,7,,,,,,,
940 110012305980,w1637,940 110009539378,2378,No Shade,,15,11,5,4,1,4,3,32,11,7,18,4,,2,9,3,2,1,3,9,7,15,22,6,19,3,3,4,18,4,3,10,6,2,1,1,7,7,7,11,5,36,20,12,26,12,3,5,10,13,5,13,13,27,18,6,10,25,6,3,12,15,4,6,7,8,7,1,5,4,3,1,19,14,8,7,7,7,11,25,7,14,52,2,3,6,4,4,4,3,2,6,11,14,5,15,1,3,10,8,10,7,6,3,6,4,19,9,28,8,30,5,10,31,16,7,64,,19,98,9,21,,,,,,
940 110012305980,w1637,940 110009539487,Y1093,No Shade,,2,9,9,4,,,3,,11,2,,5,2,2,6,6,8,2,4,5,4,2,,8,4,5,5,15,4,3,2,14,5,25,3,5,8,11,1,19,10,8,2,2,12,10,4,4,3,7,13,1,10,8,2,12,4,10,46,6,9,2,,4,9,2,11,31,17,5,9,4,34,76,15,23,4,,4,5,7,18,11,1,5,7,3,2,9,,4,15,23,6,16,10,1,11,3,15,21,19,17,41,59,8,10,5,11,15,2,7,36,1,10,10,11,3,,,,,,,,,,
940 110012305980,w1637,940 110009541265,W192251,No Shade,,9,6,9,8,12,25,11,12,16,12,5,3,,9,,,3,24,2,3,3,2,3,7,1,10,9,37,5,5,12,2,5,26,4,24,3,4,1,7,1,12,29,10,7,2,4,2,8,6,4,8,30,3,10,2,5,4,1,3,12,7,10,16,2,35,22,43,10,5,11,3,11,12,16,12,8,11,3,6,8,24,15,5,6,6,3,6,1,7,3,4,5,5,15,6,,2,11,10,4,,2,7,11,2,4,,11,9,4,4,6,,4,24,1,,,1,,,,,,,,
940 110012305980,w1637,940 110006544506,2032,No Shade,2,8,14,12,3,,2,19,5,5,,5,3,4,6,4,1,5,1,11,28,14,18,9,3,12,3,3,10,,2,13,2,4,10,,7,1,3,13,3,5,8,16,4,5,8,4,11,15,15,9,5,3,34,6,7,9,5,23,10,29,6,4,6,4,1,10,9,24,16,6,15,16,15,5,7,10,3,5,6,7,14,3,2,5,4,10,5,14,4,5,5,,35,2,4,4,24,8,2,16,3,6,17,2,9,4,,22,13,7,8,2,1,3,32,3,3,,,,,,,,,,
940 110012305980,w1637,940 110012567028,W1556,No Shade,,2,3,9,12,21,8,1,1,5,2,2,2,,11,3,10,7,,7,7,2,4,35,9,5,22,15,8,4,11,9,1,17,8,3,2,6,6,15,3,29,19,2,6,11,9,6,3,2,8,6,7,1,2,13,20,15,8,7,3,9,10,7,4,6,12,12,,13,10,8,5,10,4,6,3,19,32,2,7,6,15,30,32,7,8,4,4,8,15,2,1,3,10,10,19,7,5,5,1,12,28,8,2,2,9,13,17,8,16,51,22,,9,9,5,1,,,,,,,,,,,
940 110012305980,w1637,940 110006544658,2509,No Shade,1,15,5,38,2,15,8,4,,9,5,6,19,,2,,2,7,2,2,4,4,6,6,20,6,6,8,1,13,14,1,3,7,3,1,50,1,9,4,16,10,1,7,52,4,6,2,,2,14,8,13,2,4,5,4,1,3,1,6,8,20,2,4,1,7,5,5,16,,19,6,8,38,32,21,,1,8,7,4,7,18,30,10,7,8,5,10,,2,14,20,2,9,3,10,1,4,6,11,5,13,3,5,5,6,,12,10,1,2,2,27,2,13,9,5,1,1,16,61,,,,,,
940 110012305980,w1637,940 110006720136,2381,No Shade,,8,5,23,12,1,11,2,2,3,,,19,7,8,16,3,2,3,3,5,2,2,,2,16,3,3,5,24,11,1,8,5,1,2,23,8,21,11,7,5,4,2,10,24,,2,2,8,16,6,2,1,26,3,7,7,6,4,9,,,27,1,5,,,,2,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 110012305980,w1637,940 110009540874,2637,No Shade,1,,2,9,2,1,4,2,7,9,,11,37,6,7,3,2,28,27,3,3,4,3,8,21,,5,1,2,1,19,2,9,4,3,1,,4,5,,3,4,8,13,9,6,2,38,31,6,15,2,6,17,2,9,12,6,14,3,4,5,,6,6,23,20,16,4,7,2,17,2,11,14,10,1,19,30,8,8,32,18,32,51,2,8,27,2,15,15,1,4,10,8,6,38,1,6,10,14,7,2,9,18,5,2,26,31,11,3,27,21,16,28,9,1,25,,,,,,,,,,,
940 110012305980,w1637,940 110012568263,2994,No Shade,,5,6,1,2,,20,,5,3,1,8,26,2,7,6,9,3,16,1,2,3,2,16,18,4,5,8,9,14,7,9,5,4,2,1,,3,1,5,3,4,11,3,2,7,6,3,47,27,11,5,6,8,5,16,32,2,1,3,3,6,2,,3,7,5,4,7,4,17,8,1,6,30,13,12,12,23,21,12,,11,57,16,5,5,7,3,3,24,6,1,32,10,7,,2,13,29,20,13,6,17,20,6,4,15,61,11,8,3,7,3,19,11,7,2,7,18,69,14,7,,,,,,
940 110012305980,w1637,940 110009540403,2353,No Shade,,9,6,28,4,,,5,15,4,,6,,3,9,10,6,5,,2,,5,5,5,9,1,5,4,5,23,3,7,3,7,3,17,1,3,11,16,7,9,8,15,9,29,1,10,,,3,4,9,17,5,10,1,37,8,2,11,7,4,6,,11,3,3,5,8,1,21,4,10,14,28,11,9,1,3,8,12,13,13,2,,18,3,8,3,5,1,25,16,4,,,11,4,19,10,11,1,12,9,14,3,,3,4,8,1,8,17,15,,3,4,2,1,,3,,,,,,,
940 110012305980,w1637,940 110009539785,2493,No Shade,,24,4,9,4,2,3,2,13,3,46,15,11,7,12,3,30,7,1,2,4,4,2,12,9,4,6,7,5,3,13,9,26,4,1,,3,6,5,11,13,8,8,7,21,16,,20,20,17,9,8,1,34,23,4,3,3,16,1,6,,12,3,4,9,14,9,2,11,1,2,11,19,5,3,,12,10,30,23,3,26,8,19,7,7,13,8,9,7,6,3,8,5,8,6,1,1,40,7,13,15,24,1,3,4,5,4,13,8,7,,,,,,,,,,,,,,,,,
940 110012305980,w1637,940 110009421855,2572,No Shade,1,2,3,1,6,,1,1,5,3,1,8,,5,9,13,24,5,1,,3,2,6,2,5,7,17,5,4,,5,21,3,12,8,8,6,2,13,2,11,5,11,,6,9,1,,4,2,8,6,3,,,2,11,,4,4,4,,2,4,2,2,2,5,1,4,4,,,1,2,,1,3,2,2,,7,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 110012305980,w1637,940 110009539979,W192358,No Shade,,3,5,3,5,,2,2,4,39,56,44,4,,3,2,9,6,1,7,1,3,5,12,6,6,,1,6,4,1,6,15,3,2,6,,9,2,25,9,11,9,4,2,16,2,2,10,1,17,4,5,20,9,4,12,2,5,7,2,9,3,,3,3,13,9,4,15,17,11,26,23,13,3,1,18,20,7,5,3,31,45,25,5,12,5,3,9,8,7,16,3,5,25,26,7,6,16,8,20,4,22,2,16,8,2,14,36,12,9,4,3,28,8,20,,,,,,,,,,,,
940 110012305980,w1637,940 110006544025,2545,No Shade,,13,8,4,1,1,,2,3,16,1,,2,4,2,2,7,1,,3,5,3,3,,13,,3,12,4,3,11,5,7,,13,6,5,8,3,7,3,19,4,8,2,5,4,2,2,5,6,23,5,3,13,3,23,4,2,3,,8,3,10,2,5,,2,15,11,2,7,,12,35,2,3,9,8,22,34,8,13,4,4,5,14,25,5,14,29,26,41,16,17,50,11,6,6,3,6,10,2,3,7,10,2,9,1,8,2,,,,,,,,,,,,,,,,,,
940 110012305980,w1637,940 110009423262,W192426,No Shade,1,2,3,5,1,11,5,10,2,5,1,5,15,3,5,1,2,14,9,3,1,2,4,30,2,11,19,7,6,1,7,10,2,8,6,2,4,5,11,10,3,,,2,13,16,8,1,,7,13,7,21,10,4,9,21,35,5,6,8,13,5,4,2,6,2,15,3,7,7,22,7,14,6,4,,4,,19,6,5,21,9,,5,6,4,11,1,,13,7,19,10,13,13,7,19,7,2,4,1,25,7,27,5,,2,10,6,1,3,29,,9,9,24,13,8,,,,,,,,,
940 110012305980,w1637,940 110009538664,2437,No Shade,,5,4,9,6,,8,6,2,10,24,,,1,4,3,3,,1,2,6,68,1,1,3,3,7,10,2,5,16,4,4,5,9,20,,10,8,8,11,12,2,10,8,7,8,,,5,6,2,21,4,1,7,14,24,3,2,,6,4,7,20,6,2,7,11,7,3,2,,,6,3,4,4,,3,4,14,14,15,,7,6,4,5,1,,,18,10,10,5,,1,6,19,4,,,3,37,7,2,2,1,6,8,8,1,,,5,,3,3,15,,,,,,,,,
940 110012305980,w1637,940 110009539860,2622,No Shade,,,3,,1,,2,4,6,7,,4,17,4,5,3,1,6,50,3,10,6,1,17,3,2,2,2,2,21,28,8,22,3,6,4,1,1,3,4,8,12,6,12,4,8,3,3,16,3,2,2,4,,4,5,1,1,5,,3,3,4,2,2,,1,2,,2,,1,1,7,1,,,10,3,1,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 110012305980,w1637,940 110009540374,2928,No Shade,2,9,14,4,,,7,3,12,13,3,1,10,2,3,10,12,,2,23,7,3,8,15,10,2,1,1,5,6,6,16,4,13,3,3,1,4,5,6,5,9,5,6,13,19,4,7,9,5,19,3,1,2,4,4,15,39,6,1,1,1,11,14,12,15,17,1,3,4,39,1,9,7,19,4,,16,23,6,8,10,6,6,24,2,1,1,3,8,19,2,6,3,6,37,5,21,7,6,6,9,19,13,3,8,5,4,7,4,2,13,18,25,28,12,4,1,1,16,11,5,1,,,,,,
940 110012305980,w1637,940 110006544250,Y1018,No Shade,,2,2,2,2,,3,,1,8,6,2,1,3,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,6,1,1,2,1,,5,2,4,2,2,1,3,,,2,3,12,7,3,3,5,1,8,18,1,1,8,4,10,2,2,5,11,17,5,1,6,22,25,,8,4,7,7,12,4,,7,4,1,12,2,3,4,6,5,2,6,3,13,7,4,15,4,11,5,4,19,2,7,40,23,,,,,,,,,,,
940 110012305980,w1637,940 110009421996,w9562,No Shade,,1,4,4,1,1,7,6,1,11,5,,,17,3,6,3,1,1,,7,4,4,,11,14,5,4,1,,7,8,4,17,3,4,,5,7,1,13,2,,8,9,9,10,3,2,1,6,2,8,6,11,17,1,8,31,27,3,14,14,12,9,17,,3,8,14,27,15,9,1,16,20,1,4,5,20,6,6,11,1,,3,7,1,5,15,,13,11,1,4,3,,25,4,2,3,16,7,8,3,31,6,3,,11,3,3,3,11,1,10,8,2,2,8,1,,,,,,,,
940 110012305980,w1637,940 110009539709,W192166,No Shade,,,4,13,6,,4,9,4,4,14,8,1,1,10,33,32,1,4,,11,3,18,11,1,,33,1,3,23,8,9,8,4,2,7,,3,24,10,6,1,20,,15,1,2,8,,,3,8,11,2,8,14,10,4,4,11,1,6,3,1,1,3,4,11,6,10,13,8,9,25,18,7,3,8,31,15,27,11,5,12,7,4,21,12,9,6,1,1,23,13,10,10,5,1,3,7,2,8,7,4,18,8,6,24,2,4,5,1,4,18,,7,13,26,11,,,,,,,,,,
940 110012305980,w1637,940 110006544091,w192160,No Shade,,16,16,7,10,14,12,8,9,8,9,5,1,4,11,6,8,2,31,8,7,4,1,1,11,13,33,6,17,3,5,6,2,12,4,19,1,7,22,9,13,2,11,25,6,11,3,12,21,9,3,9,11,4,6,1,16,6,7,21,10,24,26,6,5,9,3,9,28,13,15,7,45,7,27,11,,11,6,9,4,7,3,12,16,5,6,8,7,6,17,5,2,6,2,6,34,1,8,2,7,8,8,13,6,6,2,7,6,4,9,3,2,7,6,5,8,1,8,7,1,9,3,,,,,,
940 110012305980,w1637,940 110009539914,2604,No Shade,,12,15,2,6,,,3,6,2,2,4,1,11,10,8,1,5,22,15,4,8,6,,3,8,2,12,6,40,7,1,4,1,3,5,15,3,5,4,7,7,2,13,7,2,5,22,2,5,8,22,3,5,3,11,6,10,25,7,9,8,6,1,15,3,3,6,4,15,9,27,12,9,1,7,2,23,15,4,5,13,13,11,,1,4,1,4,5,1,1,25,4,12,2,4,1,6,6,20,9,2,5,2,6,8,1,,5,4,5,5,4,14,3,25,2,1,12,3,,,,,,,,
940 110012305980,w1637,940 110006544309,2423,No Shade,,3,8,1,3,21,12,11,5,4,5,,1,4,8,20,7,12,10,6,4,1,3,2,15,,1,3,10,7,3,9,2,18,4,,3,16,,,7,,26,7,19,6,3,10,22,7,7,10,13,1,4,11,,2,2,1,8,4,,2,4,21,12,4,44,15,21,,9,6,2,10,3,9,14,2,4,48,4,6,10,11,16,5,7,8,13,7,5,11,7,7,10,4,6,3,3,8,8,4,16,11,4,5,17,7,15,4,13,6,16,12,11,29,11,20,7,4,6,,,,,,
940 110012305980,w1637,940 110012565400,W300,No Shade,,2,7,10,6,,1,6,1,12,2,4,4,,8,,4,5,,10,5,5,1,,,14,,13,2,1,4,4,4,8,3,4,20,10,1,1,3,5,6,5,4,9,10,,,3,3,12,2,6,1,2,3,6,11,5,,28,7,4,2,1,,2,1,8,4,19,7,1,2,5,6,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 110012305980,w1637,940 110009538497,2947,No Shade,,2,14,9,5,,1,,2,6,,,1,,10,14,30,1,,,4,5,6,,1,14,7,4,4,10,6,20,8,2,3,9,3,5,9,5,5,10,7,12,5,8,4,10,,7,12,7,10,1,5,9,1,4,10,1,2,1,1,7,3,13,,3,11,36,,6,2,2,11,22,2,8,,6,7,7,17,1,,5,2,1,1,12,,5,11,4,7,12,1,,17,3,13,5,,4,6,11,3,,,3,7,5,3,1,,11,23,7,7,3,,3,3,,,,,,
940 110012305980,w1637,940 110009538382,O45,No Shade,,,20,7,,,,4,,3,1,3,,,7,7,,1,21,5,4,3,7,22,8,2,4,1,2,5,1,7,7,4,2,1,,9,5,1,2,9,4,8,7,5,8,12,23,9,17,3,20,11,2,1,12,5,11,11,5,10,10,14,25,,2,2,13,14,32,1,11,7,6,8,4,2,6,11,5,13,11,4,14,11,8,5,13,12,2,8,3,14,14,9,8,18,19,7,17,15,7,7,8,15,9,5,7,15,14,20,6,12,4,4,9,,,,,,,,,,,,
940 110012305980,w1637,940 110009422300,2962,No Shade,1,6,12,12,11,,1,4,1,2,2,,3,3,4,8,9,,1,4,7,3,,,3,7,18,17,5,6,4,8,6,5,2,5,5,4,3,9,9,3,6,1,6,2,2,3,1,3,19,1,16,7,4,9,6,,9,8,4,2,9,24,18,13,1,16,19,8,13,8,2,9,13,6,3,10,,6,10,7,18,3,,,4,8,13,5,,3,8,5,3,4,,5,10,12,20,2,,6,3,4,5,6,1,5,9,6,10,2,1,8,3,9,26,4,,6,2,,,,,,
940 110012305980,w1637,940 110006544403,W1707,No Shade,,2,4,7,4,16,3,3,1,12,,3,1,1,1,10,3,,1,3,6,1,11,13,,8,4,1,3,5,7,4,10,18,2,4,1,8,2,,5,8,13,22,5,4,3,8,,24,15,29,6,6,,2,16,5,2,9,25,4,3,7,11,6,25,11,,4,2,8,4,28,36,15,13,3,2,9,3,20,20,39,7,15,10,21,1,12,4,2,1,5,10,6,17,4,5,14,12,13,8,6,7,3,3,9,6,3,16,1,29,4,9,19,10,5,14,12,,,,,,,,,
940 110012305980,w1637,940 110009541760,2310,No Shade,,5,7,,1,5,10,3,5,7,10,2,1,2,3,6,9,1,3,9,7,1,4,1,1,5,15,6,6,4,11,11,8,6,1,,5,10,6,10,7,,8,1,5,7,5,4,14,1,2,10,16,12,5,7,3,20,4,13,5,2,19,19,6,1,4,12,4,25,2,13,6,13,,31,14,4,9,7,11,4,7,1,2,15,8,4,,5,17,4,3,4,3,6,,5,29,13,5,3,11,4,13,6,1,21,24,7,14,5,4,33,9,3,,,,,,,,,,,,,
940 110012305980,w1637,940 110006543939,W192556,No Shade,,17,9,7,8,8,3,3,44,7,10,8,2,7,13,12,2,,1,40,4,28,1,,1,2,7,5,6,2,6,5,5,8,,3,8,10,4,3,2,9,2,11,10,28,9,8,6,15,8,7,9,6,6,8,3,3,6,,3,22,13,10,7,39,31,9,6,9,12,32,8,12,6,6,6,10,2,12,15,5,5,15,4,4,7,1,2,4,1,2,4,1,5,8,3,7,8,3,12,8,3,7,1,4,3,8,5,10,12,2,2,2,25,8,13,2,2,4,11,29,33,,,,,,
940 110012305980,w1637,940 110006544980,2981,No Shade,,2,14,11,9,,3,10,2,9,1,7,,4,11,3,2,3,1,9,7,3,4,1,1,11,2,6,9,4,1,,14,6,30,11,13,6,6,16,5,21,26,10,4,3,15,,22,8,2,2,4,,5,5,5,2,10,1,45,1,4,8,2,3,2,6,5,11,6,5,,2,,8,1,7,,20,9,14,28,5,,6,3,4,2,9,6,4,3,5,13,6,,1,1,6,5,14,1,12,21,3,11,5,1,5,5,34,1,,3,1,5,1,7,,,11,,,,,,,
940 110012305980,w1637,940 110012554130,w192330,No Shade,,,7,4,24,12,8,4,9,3,2,3,11,4,30,4,1,7,43,8,5,2,2,6,14,,5,1,7,18,9,1,5,5,1,1,12,3,6,2,18,12,10,12,10,7,10,7,32,15,7,6,14,1,14,9,8,11,2,7,2,3,4,15,14,17,1,2,6,8,11,5,3,10,7,15,3,4,6,17,2,12,37,3,6,6,11,32,20,1,,5,7,11,6,6,11,5,2,29,5,8,3,3,7,14,15,1,,5,3,1,,29,2,,,,,,,,,,,,,,
940 110012305980,w1637,940 110009423180,W1654,No Shade,,3,12,10,5,8,19,40,1,13,6,9,30,2,9,2,3,21,4,10,4,4,3,18,22,2,5,16,4,19,3,15,4,7,3,7,2,11,9,,18,3,12,3,6,13,11,1,5,5,6,8,7,4,8,11,13,1,8,7,3,1,2,2,2,4,1,17,13,8,6,7,1,10,13,3,,14,48,29,9,19,9,33,7,26,5,24,11,2,10,5,2,3,11,29,4,1,8,12,5,12,8,4,4,2,,2,25,2,12,15,27,,27,13,14,48,15,,,,,,,,,,
940 110012305980,w1637,940 110012553725,2411,No Shade,,7,12,10,1,,4,3,53,6,,7,,,5,7,2,1,18,9,5,8,1,11,15,1,1,24,17,7,18,9,5,9,7,4,1,1,7,4,7,10,11,5,7,10,5,34,11,22,7,4,12,,14,11,16,11,2,4,4,2,52,7,19,,9,1,5,6,21,,,1,3,1,4,19,10,2,10,6,5,,9,19,15,2,2,13,13,4,1,7,5,6,,10,5,2,6,3,11,6,14,6,5,1,6,3,3,1,4,1,2,2,49,12,10,2,2,7,16,,,,,,
940 110012305980,w1637,940 110009540172,w9561,No Shade,,3,2,4,14,3,10,5,8,4,12,1,12,1,,1,4,27,1,2,6,2,8,,7,7,3,3,5,5,8,8,2,6,5,2,6,7,4,1,6,1,16,15,5,7,15,3,6,3,18,8,8,4,9,2,1,7,6,3,2,34,6,3,6,3,6,7,18,4,8,30,2,1,5,4,3,5,13,5,11,6,12,,17,7,9,11,4,11,6,23,26,5,10,4,13,10,7,3,8,12,11,8,11,5,4,2,1,4,5,8,6,24,,17,4,3,1,3,,,,,,,,,
940 110012305980,w1637,940 110009539447,w9281,No Shade,,9,11,14,3,28,14,11,3,14,,1,21,3,11,6,,1,2,14,4,6,9,1,8,2,2,12,1,19,8,20,7,6,5,5,,6,15,3,14,6,2,5,3,10,5,11,16,4,6,8,1,45,1,3,9,3,5,4,3,2,7,2,7,28,21,4,16,3,7,3,1,16,6,10,6,9,6,26,8,8,8,20,21,14,,2,4,13,21,10,8,12,3,9,1,,15,18,12,15,27,11,10,11,9,10,8,3,7,,3,,8,31,29,16,14,7,9,8,3,,,,,,
940 110012305980,w1637,940 110009423327,3738,No Shade,,3,7,2,19,19,45,25,2,2,10,19,25,3,6,3,,14,2,2,6,1,2,1,8,2,10,6,3,3,13,10,5,2,3,3,8,9,13,,2,15,10,6,7,15,2,7,2,5,6,15,6,2,2,1,1,3,5,6,6,8,3,6,5,1,2,14,7,9,,19,5,3,2,4,5,7,,3,5,2,2,40,,10,8,23,8,6,12,19,3,7,5,,3,16,8,12,9,18,2,1,3,4,4,16,,7,5,10,6,,1,4,3,,6,37,,4,15,,,,,,
940 110012305980,w1637,940 110009422821,W1673,No Shade,,1,2,11,3,1,,11,2,13,2,11,2,3,2,3,4,,1,2,3,9,5,2,,5,6,9,3,8,,21,15,6,7,28,28,26,8,13,10,2,5,10,7,20,2,2,,21,16,13,2,8,4,4,43,19,8,,,1,16,13,1,5,,5,8,4,2,3,1,9,13,18,1,3,6,2,11,17,14,2,1,16,8,2,10,1,,7,10,14,11,,,2,8,14,7,4,5,8,10,15,5,1,1,4,3,7,4,,2,4,4,3,3,2,2,4,2,,,,,,
940 110012305980,w1637,940 110009539831,2971,No Shade,,3,7,1,9,1,1,6,2,5,6,1,1,1,1,3,1,6,12,8,2,2,4,12,7,1,5,6,6,1,5,2,11,3,4,3,1,6,3,2,1,10,8,5,5,17,6,10,22,11,7,7,4,27,12,28,13,2,5,11,3,15,21,3,2,12,14,38,8,11,8,16,18,5,2,6,2,17,19,11,7,10,12,18,22,16,13,6,7,4,13,,9,24,20,2,,7,21,39,21,17,5,8,8,3,2,9,,3,4,2,10,39,2,8,11,6,,6,10,7,,,,,,,
940 110012305980,w1637,940 110012564878,w192408,No Shade,,3,6,8,2,,1,2,5,4,,15,19,13,10,8,7,13,2,12,1,9,4,24,2,12,1,7,7,9,7,2,4,8,3,9,2,8,17,8,2,39,4,16,6,2,10,12,8,6,8,9,1,7,2,6,5,4,,16,33,165,9,10,7,7,28,12,32,13,4,2,21,12,30,8,23,10,14,13,3,9,24,2,,12,9,2,3,15,11,15,2,20,11,8,21,25,4,6,10,14,22,9,8,17,13,19,8,7,8,38,5,,3,22,,,,,,,,,,,,,
