Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2023 12:00,14/2/2023 16:00,14/2/2023 20:00,15/2/2023 00:00,15/2/2023 04:00,15/2/2023 08:00,15/2/2023 12:00,15/2/2023 16:00,15/2/2023 20:00,16/2/2023 00:00,16/2/2023 04:00,16/2/2023 08:00,16/2/2023 12:00,16/2/2023 16:00,16/2/2023 20:00,17/2/2023 00:00,17/2/2023 04:00,17/2/2023 08:00,17/2/2023 12:00,17/2/2023 16:00,17/2/2023 20:00,18/2/2023 00:00,18/2/2023 04:00,18/2/2023 08:00,18/2/2023 12:00,18/2/2023 16:00,18/2/2023 20:00,19/2/2023 00:00,19/2/2023 04:00,19/2/2023 08:00,19/2/2023 12:00,19/2/2023 16:00,19/2/2023 20:00,20/2/2023 00:00,20/2/2023 04:00,20/2/2023 08:00,20/2/2023 12:00,20/2/2023 16:00,20/2/2023 20:00,21/2/2023 00:00,21/2/2023 04:00,21/2/2023 08:00,21/2/2023 12:00,21/2/2023 16:00,21/2/2023 20:00,22/2/2023 00:00,22/2/2023 04:00,22/2/2023 08:00,22/2/2023 12:00,22/2/2023 16:00,22/2/2023 20:00,23/2/2023 00:00,23/2/2023 04:00,23/2/2023 08:00,23/2/2023 12:00,23/2/2023 16:00,23/2/2023 20:00,24/2/2023 00:00,24/2/2023 04:00,24/2/2023 08:00,24/2/2023 12:00,24/2/2023 16:00,24/2/2023 20:00,25/2/2023 00:00,25/2/2023 04:00,25/2/2023 08:00,25/2/2023 12:00,25/2/2023 16:00,25/2/2023 20:00,26/2/2023 00:00,26/2/2023 04:00,26/2/2023 08:00,26/2/2023 12:00,26/2/2023 16:00,26/2/2023 20:00,27/2/2023 00:00,27/2/2023 04:00,27/2/2023 08:00,27/2/2023 12:00,27/2/2023 16:00,27/2/2023 20:00,28/2/2023 00:00,28/2/2023 04:00,28/2/2023 08:00,28/2/2023 12:00,28/2/2023 16:00,28/2/2023 20:00,1/3/2023 00:00,1/3/2023 04:00,1/3/2023 08:00,1/3/2023 12:00,1/3/2023 16:00,1/3/2023 20:00,2/3/2023 00:00,2/3/2023 04:00,2/3/2023 08:00,2/3/2023 12:00,2/3/2023 16:00,2/3/2023 20:00,3/3/2023 00:00,3/3/2023 04:00,3/3/2023 08:00,3/3/2023 12:00,3/3/2023 16:00,3/3/2023 20:00,4/3/2023 00:00,4/3/2023 04:00,4/3/2023 08:00,4/3/2023 12:00,4/3/2023 16:00,4/3/2023 20:00,5/3/2023 00:00,5/3/2023 04:00,5/3/2023 08:00,5/3/2023 12:00,5/3/2023 16:00,5/3/2023 20:00,6/3/2023 00:00,6/3/2023 04:00,6/3/2023 08:00,6/3/2023 12:00,6/3/2023 16:00,6/3/2023 20:00,7/3/2023 00:00,7/3/2023 04:00,7/3/2023 08:00,7/3/2023 12:00,7/3/2023 16:00,7/3/2023 20:00
940 110006914414,w192267,940 110009540874,2637,No Shade,,3,8,1,2,3,1,3,4,1,,2,4,2,15,15,,1,1,6,1,6,2,4,,2,6,5,2,3,16,8,2,5,,1,6,8,4,1,5,2,,1,1,14,7,3,3,5,27,2,10,2,6,23,12,9,12,3,3,1,7,6,2,5,16,6,18,10,13,,29,20,6,4,7,8,19,3,10,24,17,12,38,1,12,20,9,21,2,8,12,6,3,1,18,17,5,3,7,7,25,6,4,18,3,3,14,4,3,5,7,5,23,2,3,21,,,,,,,,,,,
940 110006914414,w192267,940 110012568263,2994,No Shade,,2,3,5,,,6,1,2,11,8,21,,1,7,5,1,10,3,8,4,1,1,4,,3,5,,,10,10,2,2,5,1,1,4,12,3,,,3,7,3,3,5,,13,3,8,13,5,1,1,3,,8,5,,1,6,2,10,1,1,1,15,,7,7,3,2,17,5,4,,4,22,28,23,14,16,11,7,37,4,5,3,15,4,14,5,2,2,9,6,,,5,12,,10,8,,,8,2,5,7,2,8,2,3,2,1,9,3,1,4,1,21,33,28,7,9,1,,,
940 110006914414,w192267,940 110009540403,2353,No Shade,,5,6,7,3,,1,6,9,2,,4,3,2,4,6,13,18,9,,2,10,,2,29,2,3,18,11,6,6,4,14,12,4,2,3,,5,13,7,4,18,2,7,12,5,5,11,2,18,5,4,,33,4,5,3,8,17,,,20,3,5,8,1,2,8,,5,2,8,1,4,14,3,9,2,4,12,2,9,31,,1,6,,1,,2,28,21,9,1,5,6,1,4,7,4,1,2,1,5,6,23,4,,4,22,35,3,16,1,1,6,8,7,12,,4,,,,,,,
940 110006914414,w192267,940 110009539785,2493,No Shade,1,7,6,9,6,4,2,5,7,17,6,8,2,7,17,3,6,6,,2,3,3,1,8,7,5,5,7,23,2,1,,1,2,2,6,1,18,27,7,2,5,11,7,39,15,7,2,37,16,5,5,5,17,8,2,15,21,19,4,14,3,17,13,2,3,2,9,16,1,2,6,6,20,6,18,1,10,6,4,10,13,,29,,6,5,18,6,7,22,,4,8,4,23,8,6,15,33,5,9,5,6,2,5,,29,32,6,8,9,2,,,,,,,,,,,,,,,,
940 110006914414,w192267,940 110006720740,2977,No Shade,,3,16,6,,,2,3,11,1,,,,18,22,17,13,,,3,2,1,13,,,2,4,4,11,15,2,2,1,1,,21,1,2,3,8,,6,7,4,,25,2,1,11,17,4,26,5,,25,11,5,2,8,36,12,5,4,20,4,1,12,3,15,7,9,1,22,11,7,10,6,17,1,3,5,4,4,20,10,12,7,7,5,,,5,3,3,1,,21,12,33,14,4,5,9,11,8,7,1,7,3,4,4,23,10,,,2,25,3,36,5,,4,7,1,3,3,,,
940 110006914414,w192267,940 110009421855,2572,No Shade,,1,1,,2,1,,2,10,1,1,2,2,1,3,8,7,5,16,3,3,17,1,2,1,,11,,3,7,,3,11,6,4,,,5,7,2,2,,17,3,2,7,3,3,5,2,1,7,12,4,2,1,8,3,4,1,,1,,1,,,,,,,,1,1,,2,1,3,,1,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 110006914414,w192267,940 110012566988,2561,No Shade,1,4,7,3,1,4,12,16,14,4,3,12,16,,3,4,1,4,,3,14,6,1,5,2,1,24,3,6,3,8,3,1,8,,1,15,13,8,2,2,4,1,10,13,3,6,22,11,48,9,4,,3,,5,11,5,4,3,,6,25,15,1,10,1,29,24,65,17,1,55,2,30,15,3,15,5,6,25,11,8,8,1,8,3,2,6,5,2,1,,,,6,10,3,4,21,5,14,1,1,3,8,4,35,56,2,9,,7,3,2,5,4,22,4,6,79,40,20,5,14,9,18,,
940 110006914414,w192267,940 110009539086,w1547,No Shade,,5,12,17,4,4,3,2,5,2,12,4,6,8,15,17,8,4,,2,15,6,,4,,16,58,10,50,42,19,2,13,1,,5,13,,8,6,4,3,15,,8,14,26,1,3,16,9,13,,1,5,13,3,83,7,1,,13,5,11,8,5,3,2,9,9,7,16,15,2,4,4,1,5,15,7,4,5,9,1,,16,4,28,27,19,2,2,,5,2,2,10,,1,16,7,5,3,1,4,5,7,2,,7,2,,3,3,1,6,3,12,4,10,1,12,35,10,6,,,,
940 110006914414,w192267,940 110009539979,W192358,No Shade,,5,3,1,1,2,6,20,2,13,99,13,11,7,16,2,2,8,2,9,1,2,23,10,,3,8,8,5,5,20,9,5,1,,6,7,1,9,1,3,11,23,10,1,10,2,11,12,6,4,8,7,,5,11,14,12,3,2,13,17,,3,3,,14,4,9,36,10,5,22,13,4,1,,5,,1,5,19,19,4,12,13,29,2,1,14,5,,37,11,4,14,10,10,6,4,7,8,20,19,14,9,1,33,14,16,18,19,4,9,2,13,4,,15,,,,,,,,,,
940 110006914414,w192267,940 110006543881,2439,No Shade,2,5,10,20,9,5,12,8,16,13,4,10,4,6,8,11,,13,20,6,1,1,4,,,5,2,14,5,17,6,5,9,8,,5,5,7,15,2,1,2,3,1,6,6,,5,22,8,10,17,2,3,4,4,23,11,5,50,9,7,4,1,2,4,15,3,2,6,2,3,17,20,11,2,2,6,13,9,6,1,3,5,20,29,5,1,4,3,8,,2,3,2,14,1,18,8,11,4,14,23,5,4,1,2,4,39,4,13,29,17,8,4,14,5,68,4,9,9,11,22,16,4,22,1,,
