Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2024 12:00,14/2/2024 16:00,14/2/2024 20:00,15/2/2024 00:00,15/2/2024 04:00,15/2/2024 08:00,15/2/2024 12:00,15/2/2024 16:00,15/2/2024 20:00,16/2/2024 00:00,16/2/2024 04:00,16/2/2024 08:00,16/2/2024 12:00,16/2/2024 16:00,16/2/2024 20:00,17/2/2024 00:00,17/2/2024 04:00,17/2/2024 08:00,17/2/2024 12:00,17/2/2024 16:00,17/2/2024 20:00,18/2/2024 00:00,18/2/2024 04:00,18/2/2024 08:00,18/2/2024 12:00,18/2/2024 16:00,18/2/2024 20:00,19/2/2024 00:00,19/2/2024 04:00,19/2/2024 08:00,19/2/2024 12:00,19/2/2024 16:00,19/2/2024 20:00,20/2/2024 00:00,20/2/2024 04:00,20/2/2024 08:00,20/2/2024 12:00,20/2/2024 16:00,20/2/2024 20:00,21/2/2024 00:00,21/2/2024 04:00,21/2/2024 08:00,21/2/2024 12:00,21/2/2024 16:00,21/2/2024 20:00,22/2/2024 00:00,22/2/2024 04:00,22/2/2024 08:00,22/2/2024 12:00,22/2/2024 16:00,22/2/2024 20:00,23/2/2024 00:00,23/2/2024 04:00,23/2/2024 08:00,23/2/2024 12:00,23/2/2024 16:00,23/2/2024 20:00,24/2/2024 00:00,24/2/2024 04:00,24/2/2024 08:00,24/2/2024 12:00,24/2/2024 16:00,24/2/2024 20:00,25/2/2024 00:00,25/2/2024 04:00,25/2/2024 08:00,25/2/2024 12:00,25/2/2024 16:00,25/2/2024 20:00,26/2/2024 00:00,26/2/2024 04:00,26/2/2024 08:00,26/2/2024 12:00,26/2/2024 16:00,26/2/2024 20:00,27/2/2024 00:00,27/2/2024 04:00,27/2/2024 08:00,27/2/2024 12:00,27/2/2024 16:00,27/2/2024 20:00,28/2/2024 00:00,28/2/2024 04:00,28/2/2024 08:00,28/2/2024 12:00,28/2/2024 16:00,28/2/2024 20:00,29/2/2024 00:00,29/2/2024 04:00,29/2/2024 08:00,29/2/2024 12:00,29/2/2024 16:00,29/2/2024 20:00,1/3/2024 00:00,1/3/2024 04:00,1/3/2024 08:00,1/3/2024 12:00,1/3/2024 16:00,1/3/2024 20:00,2/3/2024 00:00,2/3/2024 04:00,2/3/2024 08:00,2/3/2024 12:00,2/3/2024 16:00,2/3/2024 20:00,3/3/2024 00:00,3/3/2024 04:00,3/3/2024 08:00,3/3/2024 12:00,3/3/2024 16:00,3/3/2024 20:00,4/3/2024 00:00,4/3/2024 04:00,4/3/2024 08:00,4/3/2024 12:00,4/3/2024 16:00,4/3/2024 20:00,5/3/2024 00:00,5/3/2024 04:00,5/3/2024 08:00,5/3/2024 12:00,5/3/2024 16:00,5/3/2024 20:00,6/3/2024 00:00,6/3/2024 04:00,6/3/2024 08:00,6/3/2024 12:00,6/3/2024 16:00,6/3/2024 20:00,7/3/2024 00:00,7/3/2024 04:00,7/3/2024 08:00,7/3/2024 12:00
951 000016108674,w192584,940 110009539086,w696,No Shade,,5,7,22,5,5,4,4,21,58,22,11,22,9,4,1,8,14,10,7,5,23,9,7,1,3,9,14,2,5,14,17,7,11,6,11,2,19,,7,7,5,,4,11,7,2,9,4,4,7,6,9,12,22,4,1,17,1,1,6,8,2,1,10,3,,,14,53,2,5,6,23,25,,25,8,5,6,19,58,27,15,48,12,23,,3,5,13,4,17,2,1,3,7,2,3,1,2,23,15,3,14,27,7,6,28,2,13,6,5,,3,5,6,1,2,25,26,1,,,,,,,,,,,
951 000016108674,w192584,982 123812217553,2400,No Shade,,,3,5,11,7,26,4,6,1,6,22,3,9,5,5,1,8,24,3,3,7,,9,1,,4,1,2,6,4,2,8,20,18,25,20,25,12,3,12,15,14,4,13,8,16,3,16,6,6,3,1,5,20,20,1,,2,8,,3,4,,2,,,,18,8,11,8,17,42,2,2,9,17,5,2,20,21,6,28,17,24,29,2,1,3,14,3,2,4,2,2,1,6,3,,3,,14,6,8,3,15,,9,6,15,5,4,7,4,4,5,4,13,27,16,5,,,,,,,,,,,
951 000016108674,w192584,940 110012565646,3712,No Shade,,10,12,5,3,9,4,5,14,6,21,2,7,7,8,3,1,1,3,10,9,27,10,10,4,1,10,10,4,6,1,9,8,5,1,1,3,1,1,8,6,,3,8,5,7,21,9,9,6,7,11,5,14,5,3,,6,13,6,3,6,,2,4,8,2,1,2,1,2,17,13,2,53,,60,55,3,7,4,9,18,14,6,9,12,,2,7,4,1,9,11,3,4,11,,1,2,8,3,6,7,10,2,,5,5,5,10,17,10,1,6,9,3,4,9,20,27,3,,,,,,,,,,,
951 000016108674,w192584,940 110019091442,w797,No Shade,,5,5,16,4,7,14,7,4,6,5,17,4,,13,6,2,17,16,15,5,14,6,10,7,4,2,28,3,2,10,3,19,6,5,11,1,,9,4,10,16,44,10,9,6,1,1,8,3,17,5,3,4,10,11,7,16,8,7,5,7,17,3,3,25,1,,4,1,4,8,49,14,,9,5,1,1,12,76,30,4,61,9,8,29,,5,6,10,3,13,10,4,,3,3,5,1,2,,3,4,10,18,4,,3,3,8,1,,1,13,24,8,19,6,43,11,2,,,,,,,,,,,
951 000016108674,w192584,940 110012564878,w192255,No Shade,,4,9,9,11,15,21,2,,2,7,6,5,3,5,5,4,4,3,3,,3,6,,6,2,6,6,,7,19,3,3,8,8,10,8,7,2,4,15,15,,8,,5,15,2,21,12,19,10,4,1,6,2,4,8,4,2,2,,16,2,3,4,10,6,,3,3,10,4,1,18,1,17,54,18,13,30,28,13,11,38,7,2,,4,9,4,6,16,28,3,7,7,2,6,2,1,21,17,6,14,5,1,3,6,10,19,4,5,3,,18,7,4,2,28,27,,,,,,,,,,,,
951 000016108674,w192584,940 110019088608,w956,No Shade,,3,8,3,,9,6,3,1,2,3,3,6,9,2,7,1,14,3,7,3,7,8,7,2,3,6,11,5,19,2,5,4,10,6,3,5,4,2,6,3,,,5,4,7,12,18,13,7,10,4,3,3,18,1,4,9,3,4,2,1,1,2,3,1,14,,8,17,72,43,51,2,6,1,9,7,12,3,13,23,27,11,1,5,6,,,15,3,4,10,4,11,2,3,2,7,4,3,12,10,4,7,4,3,,1,3,17,21,7,6,,2,3,2,1,8,33,,,,,,,,,,,,
951 000016108674,w192584,940 110019088701,w192313,No Shade,,,6,3,1,1,2,1,2,9,12,9,5,5,13,7,2,24,13,7,3,3,,2,6,9,1,3,4,1,56,47,51,16,3,6,4,,1,15,5,5,,1,5,4,8,7,11,7,5,66,4,12,6,5,3,47,1,11,2,,,3,25,2,59,,,,3,27,21,1,4,33,12,2,1,7,3,,4,6,12,9,,,2,2,8,1,9,5,2,1,12,1,1,,3,1,9,3,6,8,5,,7,1,1,2,1,3,3,4,6,5,1,28,34,27,,,,,,,,,,,
951 000016108674,w192584,940 110009540316,2033,No Shade,,8,4,5,8,16,,2,25,2,2,15,67,7,7,15,19,7,1,4,4,5,9,1,11,9,3,,13,5,4,16,3,5,6,10,11,3,4,6,4,14,23,3,63,9,23,5,9,3,11,10,27,12,7,11,3,1,1,5,,13,2,1,11,1,2,3,18,17,18,11,10,16,17,2,14,27,32,7,21,5,3,7,38,7,12,,,1,5,6,3,34,,6,13,15,2,3,23,21,14,24,16,6,39,1,15,4,4,,4,14,22,1,1,2,4,8,34,1,,,,,,,,,,,
951 000016108674,w192584,940 110009422824,y447,No Shade,,4,5,5,2,5,11,4,4,2,2,13,1,3,3,7,2,3,6,2,13,4,,1,7,3,2,2,8,3,4,18,4,,13,12,14,5,32,4,7,12,,9,6,7,14,7,8,6,4,10,1,8,9,9,12,33,4,4,3,4,1,4,1,10,2,1,,,3,5,5,16,65,,6,2,20,26,4,12,7,14,75,2,,,2,1,13,5,3,8,2,4,29,10,87,12,8,3,1,2,12,3,2,,4,19,7,1,2,3,2,1,6,2,,20,68,14,,,,,,,,,,,
951 000016108674,w192584,940 110019092805,w1664,No Shade,,2,6,4,4,5,1,5,1,6,7,2,,,1,5,9,1,2,13,11,,,1,17,10,30,1,,14,5,6,4,3,2,3,,4,,8,9,2,,3,1,4,2,20,3,5,2,4,10,5,19,56,75,,19,,26,5,,,2,,2,,7,1,8,3,1,4,5,,4,3,19,6,15,6,8,9,5,9,18,,1,3,7,1,4,3,1,4,13,,21,3,7,,3,5,8,6,4,3,,2,30,49,4,6,1,1,6,1,7,33,5,,,,,,,,,,,,
951 000016108674,w192584,940 110012565504,w299,No Shade,,13,5,9,2,9,1,8,5,2,7,9,5,9,16,10,2,1,3,5,,2,3,3,6,,2,4,1,4,8,2,3,20,1,1,,3,3,3,3,1,1,6,1,4,4,10,19,5,16,13,3,6,16,19,8,34,3,21,,2,18,1,10,,,1,31,2,11,13,15,6,30,52,5,26,18,5,12,6,5,40,12,9,3,,8,3,7,4,8,1,2,6,12,2,1,1,4,15,7,2,12,6,2,,3,10,6,7,2,,9,11,5,,2,20,30,37,,,,,,,,,,,
951 000016108674,w192584,940 110009539115,2583,No Shade,,1,11,9,2,3,1,,6,5,1,,3,5,3,7,4,4,6,3,17,14,7,4,4,2,22,2,9,,3,6,22,5,3,6,6,4,,14,2,,,5,2,14,6,10,21,7,5,8,13,9,13,5,7,3,16,,,1,24,4,13,7,,,7,6,9,11,13,4,25,6,25,16,8,10,12,50,20,50,35,11,4,,3,8,3,9,9,6,6,17,5,3,2,8,3,2,6,10,15,10,2,1,5,14,21,7,2,6,1,1,4,3,5,62,27,,,,,,,,,,,,
951 000016108674,w192584,940 110009538750,2534,No Shade,,3,8,9,22,9,9,7,1,14,12,5,,4,25,8,3,4,9,4,4,1,15,6,3,13,6,4,16,4,10,13,11,8,22,15,11,8,3,41,9,3,8,12,7,15,9,8,5,2,13,3,10,21,22,14,8,3,13,,1,,13,3,3,5,,2,10,3,9,16,21,36,17,68,11,29,6,21,38,27,6,7,32,17,1,1,7,6,10,19,3,3,8,2,7,3,21,,8,4,12,3,10,11,7,10,18,8,20,1,1,5,14,7,2,5,5,37,36,3,,,,,,,,,,,
951 000016108674,w192584,940 110019091368,2637,No Shade,,1,8,6,3,4,5,4,1,2,5,1,2,2,6,12,2,32,14,6,,6,7,13,,,1,2,5,12,12,,5,7,2,5,,6,26,,8,2,,2,2,20,7,7,3,1,12,1,,9,12,1,,8,10,,,20,4,2,3,,3,27,,,9,6,23,17,39,9,6,24,6,8,4,5,1,8,9,20,2,2,2,13,2,7,4,3,10,7,16,20,1,9,4,7,46,25,11,7,3,5,2,2,4,12,,4,,,4,,5,14,29,13,,,,,,,,,,,
951 000016108674,w192584,940 110012567023,2614,No Shade,,3,7,13,1,7,2,8,1,1,9,10,3,7,3,7,5,1,21,3,3,2,11,8,21,5,1,3,9,18,11,2,11,8,6,6,20,6,2,5,2,11,4,3,1,8,10,16,11,10,12,4,14,3,11,20,,1,14,1,1,2,,2,9,,3,,12,2,6,47,14,17,9,42,2,14,34,22,50,6,3,24,24,15,46,,1,6,25,9,8,20,3,6,20,21,12,1,7,,6,5,10,8,2,1,12,11,5,4,,3,11,13,1,,1,33,54,61,,,,,,,,,,,
951 000016108674,w192584,940 110012567072,2035,No Shade,,11,8,8,10,6,2,1,3,4,,3,1,,1,10,2,15,11,8,,4,,4,4,9,2,5,6,10,,5,2,9,1,5,8,9,,2,5,2,2,2,,8,3,8,11,7,4,9,4,4,6,7,5,1,4,1,4,5,3,,7,5,,,2,2,4,10,28,6,8,4,11,4,29,5,6,23,6,9,10,5,3,,5,3,9,6,,2,2,8,7,6,2,,3,6,12,1,4,10,5,2,3,11,2,4,,,6,6,1,4,2,27,18,20,,,,,,,,,,,
951 000016108674,w192584,940 110019091207,2665,No Shade,,3,5,14,5,4,10,5,,9,6,7,4,6,4,5,2,22,12,9,10,13,10,22,6,1,5,18,1,5,1,8,2,23,1,3,10,8,1,3,5,2,7,11,6,8,8,11,6,4,7,2,3,11,10,11,14,10,4,2,3,1,,9,5,4,7,,2,4,2,24,9,1,1,2,10,3,7,25,27,9,38,19,14,8,,,3,6,5,10,7,13,,1,5,14,1,45,3,,18,14,3,5,1,,15,6,3,2,1,7,21,10,1,1,13,19,56,,,,,,,,,,,,
951 000016108674,w192584,940 110012566439,w192249,No Shade,,2,13,7,9,8,2,,4,4,9,12,1,2,6,8,17,2,3,9,6,11,21,2,23,17,9,9,7,2,4,8,2,21,3,7,12,5,3,3,10,9,1,2,2,14,2,9,6,4,4,7,1,13,4,5,20,4,1,2,20,4,26,11,10,1,5,4,3,1,6,4,7,,,81,6,3,12,14,26,4,20,7,11,8,26,,3,3,,9,5,23,5,3,20,,4,4,8,2,1,17,4,,6,5,12,4,6,5,5,,2,14,2,1,33,37,11,,,,,,,,,,,,
951 000016108674,w192584,940 110009530573,2643,No Shade,,4,17,7,3,9,19,12,1,19,16,11,10,9,21,10,3,10,7,4,6,16,11,7,6,6,31,11,4,15,18,12,19,3,5,7,17,,12,10,3,,,3,2,13,9,10,10,8,11,10,7,4,,8,31,13,8,4,,,2,3,2,4,1,2,,10,7,23,6,27,,13,13,31,8,22,9,4,27,4,5,41,5,,7,6,3,9,7,1,4,13,5,4,3,1,1,1,1,20,10,3,2,2,1,4,16,2,1,,2,8,3,4,5,14,24,4,,,,,,,,,,,
951 000016108674,w192584,940 110012568263,w1624,No Shade,,2,9,4,1,15,2,3,2,4,6,5,,8,4,5,7,21,9,3,9,2,2,,3,8,1,5,3,10,2,5,3,4,2,13,9,4,7,,1,20,18,4,10,,1,15,25,4,6,3,3,9,10,14,13,2,5,7,4,2,,5,8,1,,3,35,4,6,19,22,10,,20,9,12,22,3,13,43,,12,23,10,,,5,11,9,5,11,7,4,14,8,3,8,1,3,,4,2,1,1,,3,2,7,4,24,7,9,30,7,2,,2,17,28,3,,,,,,,,,,,
951 000016108674,w192584,940 110009539378,3798,No Shade,,1,11,9,8,3,7,4,12,6,10,1,1,10,13,11,,4,11,1,4,16,3,10,5,7,21,15,11,12,15,5,10,2,7,18,10,2,5,2,2,5,10,6,15,8,7,12,11,1,20,8,12,11,7,9,1,,14,2,6,6,20,,44,13,15,16,,31,11,7,18,13,7,3,1,4,6,6,3,2,1,11,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951 000016108674,w192584,940 110009539903,w192012,No Shade,,3,8,4,6,2,1,5,4,5,2,12,2,4,15,10,4,4,9,9,,7,6,3,10,6,11,3,21,4,4,12,4,3,5,9,11,4,1,6,9,8,2,2,3,8,5,4,4,7,2,8,3,7,1,10,,57,9,44,,1,15,5,1,2,,1,16,9,,5,14,14,18,3,50,17,,32,35,74,11,7,34,12,28,16,1,10,6,,8,19,3,9,2,6,15,2,3,18,10,1,7,6,5,1,2,1,7,2,,5,2,1,4,2,,19,4,,,,,,,,,,,,
951 000016108674,w192584,940 110009538648,w923,No Shade,,1,9,20,4,4,7,,9,,2,6,23,5,14,1,5,1,2,8,2,7,4,6,1,3,20,,1,6,36,17,8,7,6,6,2,,,6,8,1,1,3,3,4,8,4,12,11,8,4,4,5,2,,1,1,1,,,1,3,4,8,24,1,,13,9,10,25,5,5,14,2,16,8,21,7,9,4,3,10,5,13,,,2,8,3,11,17,,3,8,7,1,3,4,1,4,3,6,12,3,14,5,1,8,10,2,2,15,,1,14,,5,57,46,,,,,,,,,,,,
951 000016108674,w192584,940 110019090350,w192043,No Shade,,4,10,6,4,3,2,2,5,2,3,1,3,5,3,7,1,6,3,10,6,18,5,2,1,4,3,6,3,9,,2,3,2,4,2,7,,,5,3,3,1,4,3,27,8,2,6,3,8,4,1,4,5,2,1,1,13,3,2,3,4,3,2,2,,1,,9,43,6,5,12,5,1,3,5,,4,24,4,3,26,73,20,30,,10,4,3,4,3,2,6,1,6,5,6,1,5,5,7,8,7,4,1,,,2,4,3,3,4,,1,6,3,3,36,7,,,,,,,,,,,,
951 000016108674,w192584,940 110019090667,w1622,No Shade,,5,10,8,3,6,1,2,6,3,5,1,1,8,6,8,1,,2,2,29,6,3,8,5,13,1,2,3,6,4,1,9,5,4,1,5,2,2,4,4,9,,9,1,12,5,8,6,11,13,4,2,7,16,7,1,,8,,,2,1,1,2,19,5,1,11,4,9,4,2,,32,,77,51,11,35,5,3,5,6,10,20,44,,2,1,6,6,8,4,1,7,16,1,1,4,1,,19,4,8,7,3,,,4,21,8,3,8,1,31,64,,4,37,14,2,,,,,,,,,,,
951 000016108674,w192584,940 110009538770,y470,No Shade,,2,6,6,2,,1,,7,3,3,10,7,1,9,9,13,,1,5,1,6,,1,4,5,14,4,1,5,3,5,3,2,13,4,3,6,3,17,9,3,,,4,12,4,3,2,,,4,2,9,,3,1,,1,10,,1,6,9,37,12,4,27,16,3,3,12,6,,7,23,9,29,2,5,4,12,1,12,4,3,4,11,22,10,2,1,7,2,2,,7,8,2,27,7,4,,3,4,8,5,,1,7,8,4,1,2,2,5,8,1,1,18,7,,,,,,,,,,,,
951 000016108674,w192584,940 110012567833,w281,No Shade,,7,7,6,4,6,25,15,1,23,8,8,,12,17,11,41,10,7,14,19,18,9,11,6,2,5,6,2,2,1,5,4,6,1,19,17,7,4,3,10,26,3,4,7,1,7,7,8,8,2,13,5,12,6,5,16,13,3,11,,9,1,12,20,5,3,,41,7,8,10,13,3,22,15,17,15,30,12,32,83,3,11,12,9,9,,1,3,22,8,17,5,7,4,7,2,1,1,10,11,14,11,7,6,1,1,10,5,2,22,12,6,6,3,2,13,8,17,22,4,,,,,,,,,,,
951 000016108674,w192584,940 110012553844,2970,No Shade,,1,16,6,,5,6,7,1,37,11,2,55,10,8,6,,,5,4,19,7,5,,,3,4,31,4,4,1,5,6,4,4,9,1,1,,6,,2,5,1,,23,5,18,8,9,3,11,6,11,10,2,34,26,15,10,,6,19,1,1,4,3,,2,,4,6,2,11,,4,,2,7,6,1,10,4,15,20,13,14,,,8,8,6,3,18,3,11,9,1,3,4,3,,15,19,15,14,7,11,8,20,8,11,12,1,1,6,5,6,2,19,29,14,,,,,,,,,,,
951 000016108674,w192584,940 110012554703,2343,No Shade,,5,5,6,6,11,10,2,28,10,24,9,5,7,8,11,9,1,4,5,1,3,5,16,8,5,13,21,7,8,1,6,7,5,10,9,4,4,7,4,8,11,5,14,2,18,13,29,7,4,5,4,4,4,6,5,3,15,7,15,2,10,,17,12,3,1,,,18,,24,24,1,7,69,29,2,3,15,10,5,5,24,29,9,,,1,7,11,3,2,10,4,5,4,15,,40,4,1,4,1,7,7,2,2,5,9,8,56,12,15,34,6,5,3,,22,45,5,,,,,,,,,,,
951 000016108674,w192584,940 110009538618,w1544,No Shade,,1,7,8,4,2,4,1,3,1,1,2,,1,6,5,3,1,,1,,6,1,,1,5,1,1,6,,2,,5,2,12,6,5,2,6,3,2,4,,6,24,3,9,6,5,2,7,72,27,10,1,8,,,4,7,1,3,,1,,6,2,,,2,5,3,3,,14,59,18,3,7,3,3,9,16,13,3,1,2,4,,3,1,1,3,,5,2,2,5,,2,,22,3,2,7,4,,10,1,15,,49,68,16,,3,28,6,8,21,10,10,,,,,,,,,,,
951 000016108674,w192584,940 110009541386,w192519,No Shade,,9,6,1,10,8,9,10,12,29,8,10,5,10,2,10,6,1,22,5,4,3,6,8,8,6,,,9,10,10,1,10,9,1,7,8,,11,7,2,,12,5,7,8,9,12,6,13,14,9,3,9,3,14,3,13,10,6,2,13,46,6,1,4,,4,3,101,58,21,37,16,5,6,9,8,,10,18,8,14,8,18,7,6,,3,6,7,,25,18,57,4,8,7,9,24,16,,2,9,8,13,4,5,7,15,8,4,6,2,7,4,6,2,11,30,1,,,,,,,,,,,,
951 000016108674,w192584,940 110012566988,w1726,No Shade,,3,7,11,14,7,8,2,3,3,4,8,10,9,5,6,1,7,22,6,4,5,1,3,2,6,2,6,5,3,4,5,6,7,5,11,6,2,,16,2,20,14,3,4,5,6,7,14,7,6,11,2,6,11,9,5,,5,,2,4,3,,,5,,,7,,2,5,16,2,31,59,17,1,3,12,9,9,2,6,2,10,,,18,20,24,7,6,3,,6,30,7,12,,2,6,,5,7,,,23,,2,3,6,,7,45,9,4,,2,14,49,3,,,,,,,,,,,
951 000016108674,w192584,940 110009538415,w9559,No Shade,,4,14,17,,7,5,8,3,10,6,6,,3,2,6,6,3,,3,6,7,6,13,2,8,4,4,11,1,1,2,15,31,5,1,,11,2,2,2,1,,1,3,2,9,4,9,6,5,3,16,9,7,39,17,5,14,1,3,15,,2,2,1,10,3,,4,53,16,2,3,3,11,15,8,,18,16,50,9,10,7,16,10,1,6,6,5,2,6,1,13,2,3,13,5,3,22,5,14,2,8,4,2,4,9,14,8,4,3,1,,6,7,2,7,24,13,,,,,,,,,,,,
951 000016108674,w192584,940 110009540648,w744,No Shade,,9,6,8,2,5,2,6,5,7,6,6,2,3,9,5,32,14,3,2,2,5,15,2,,3,16,2,4,6,1,6,5,5,3,12,1,,7,5,1,,1,2,4,17,28,9,3,3,2,8,4,6,14,9,6,,8,11,3,3,1,1,2,1,,,2,2,1,,2,43,16,,11,9,,5,9,,3,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951 000016108674,w192584,940 110012567028,w1683,No Shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,4,2,,,1,7,4,2,,21,4,8,12,3,1,,3,3,2,,2,13,3,3,4,11,11,18,5,15,13,3,13,13,15,5,19,18,17,40,,11,10,14,8,10,37,3,4,11,4,7,,11,1,16,16,10,4,6,2,8,8,18,11,1,6,19,8,13,3,16,28,47,14,,,,,,,,,,,
951 000016108674,w192584,940 110009423261,2633,No Shade,,1,5,19,10,5,2,4,24,4,6,4,29,3,6,9,2,5,7,2,1,3,2,2,5,4,5,9,,,8,1,3,2,,4,3,,7,1,3,2,6,6,5,11,7,6,,7,1,8,3,12,5,5,,7,4,2,5,18,,23,12,1,1,1,16,,2,7,6,12,12,4,5,8,5,5,15,9,2,3,1,7,,1,1,5,5,1,8,10,32,10,12,16,5,1,,18,,4,9,8,10,1,3,3,1,8,24,2,,3,3,2,3,31,30,,,,,,,,,,,,
951 000016108674,w192584,940 110009539841,w287,No Shade,,,10,16,6,7,,2,3,3,2,4,4,10,2,8,6,7,2,2,7,2,7,7,4,4,6,6,5,7,,9,7,3,,3,5,2,7,3,4,4,6,5,3,5,5,3,5,4,16,6,,5,4,6,3,3,9,8,9,,,9,5,25,5,1,,3,17,6,5,22,,40,8,4,5,26,17,24,20,18,13,15,41,,13,1,4,22,2,3,7,17,6,3,7,,3,8,2,3,9,2,,1,4,14,4,3,1,23,1,1,12,,1,17,30,9,,,,,,,,,,,
951 000016108674,w192584,940 110009539369,2490,No Shade,,2,12,6,10,6,1,13,2,10,3,5,,3,6,7,3,14,17,6,2,16,10,6,5,4,18,50,17,33,11,1,7,2,8,17,11,12,5,9,15,17,10,9,6,7,6,12,27,8,14,10,3,9,9,9,,52,12,,,3,25,2,10,21,3,1,2,,7,28,19,2,17,62,10,12,20,17,30,6,80,12,42,19,61,,2,11,9,14,5,28,1,2,6,,2,1,5,2,6,6,2,6,1,8,,5,14,7,1,2,20,6,2,3,13,19,63,19,,,,,,,,,,,
951 000016108674,w192584,940 110009423327,w1791,No Shade,,3,8,3,2,11,15,2,8,1,3,23,4,26,6,11,3,22,8,,1,20,10,9,8,1,4,3,3,8,1,3,6,4,4,14,11,1,8,7,8,2,9,,,3,7,8,9,7,6,6,2,10,19,23,,,5,2,,1,28,15,20,9,4,,,7,43,4,7,,28,12,8,17,2,2,13,4,4,13,21,7,10,,16,1,10,3,4,15,,2,3,6,5,51,17,,5,2,9,8,,1,9,12,1,14,4,1,1,4,4,3,1,20,65,1,,,,,,,,,,,
951 000016108674,w192584,940 110009539082,2479,No Shade,,2,7,13,12,20,1,6,27,10,5,6,82,4,7,5,11,12,14,2,4,7,4,,9,9,5,7,17,11,5,6,4,4,2,6,4,,5,12,9,13,,8,6,8,3,9,3,4,2,5,2,11,2,5,2,1,4,17,,1,,7,5,34,,2,1,1,15,4,8,17,25,12,9,11,23,14,25,6,23,16,13,12,4,,1,10,16,5,4,2,5,4,10,2,,2,6,14,6,4,11,20,1,3,20,4,9,2,10,2,9,5,6,2,14,33,32,,,,,,,,,,,,
951 000016108674,w192584,940 110009539487,w192286,No Shade,,4,13,4,5,3,30,4,5,5,2,21,2,5,6,3,,7,,5,10,21,6,7,2,3,3,4,3,3,,7,5,6,4,3,7,9,9,12,3,18,19,5,1,5,4,3,2,7,3,3,1,6,1,2,1,20,6,7,,7,28,7,,2,,2,,,4,10,8,33,9,5,8,17,,5,20,14,3,14,4,7,11,,10,6,5,1,4,16,8,9,9,9,3,6,9,17,5,8,9,8,2,2,17,3,1,2,1,1,,2,28,3,4,38,18,18,,,,,,,,,,,
951 000016108674,w192584,940 110009538428,w1612,No Shade,,1,8,25,5,10,4,8,7,11,4,12,11,7,11,3,3,3,5,9,9,8,2,2,3,7,5,3,17,3,6,1,4,4,7,6,3,,7,2,3,4,15,8,6,6,22,8,11,1,13,12,8,15,7,3,,4,2,5,3,4,2,1,3,1,3,,2,2,8,10,15,25,2,,10,11,6,8,12,39,5,14,47,11,9,,5,11,14,5,2,5,4,28,13,4,2,3,,,8,9,10,3,,3,5,6,6,8,1,9,10,1,8,1,7,53,36,,,,,,,,,,,,
951 000016108674,w192584,940 110012554855,w764,No Shade,,1,8,4,2,2,5,13,,2,5,12,3,6,11,7,3,2,6,10,3,10,4,2,7,15,4,7,,7,,6,2,11,,7,5,5,9,6,3,,,,3,17,2,11,23,3,5,4,4,2,3,18,,10,9,2,,17,13,,8,,1,,,,3,6,20,14,13,2,3,10,2,17,34,2,85,15,10,16,40,,9,18,5,2,6,3,3,5,16,8,2,25,10,16,14,7,12,3,1,5,4,5,10,5,2,10,1,4,72,3,38,20,7,,,,,,,,,,,,
951 000016108674,w192584,940 110009541265,2608,No Shade,,1,2,19,22,7,3,5,7,10,9,7,21,8,13,5,1,2,3,17,13,14,5,5,2,5,11,13,6,17,2,1,5,11,6,2,2,12,4,1,8,,2,3,11,13,8,14,7,6,8,11,44,6,9,98,171,182,26,171,5,2,11,1,1,1,1,,19,2,1,5,21,,6,40,3,5,8,2,5,5,3,40,4,24,37,1,2,8,1,9,11,9,,24,14,1,1,3,6,6,7,8,7,11,7,2,7,7,6,7,4,1,,1,5,4,3,28,16,,,,,,,,,,,,
951 000016108674,w192584,940 110009538608,w192160,No Shade,,4,6,8,2,6,2,1,4,3,7,5,2,7,4,3,2,4,3,5,14,,5,2,9,1,11,1,12,7,,3,5,7,2,5,7,2,1,7,4,9,3,,,1,7,7,5,9,8,9,12,6,1,3,2,,2,,,2,15,,5,1,,,3,15,,,1,3,4,,7,14,,1,1,6,1,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951 000016108674,w192584,940 110009540874,w192057,No Shade,,2,7,6,5,7,4,2,4,5,28,14,26,10,11,6,2,,3,2,1,6,8,3,8,9,5,2,2,6,,3,7,8,3,7,9,3,19,5,7,,2,21,,8,6,15,16,11,24,19,1,23,28,11,18,77,9,2,7,4,25,8,5,5,1,,26,1,7,18,4,37,12,,7,19,26,12,47,4,23,29,22,13,12,,5,3,9,9,3,2,2,9,14,35,2,4,7,1,8,4,4,8,1,5,2,13,13,4,,3,2,8,11,117,4,30,60,10,,,,,,,,,,,
951 000016108674,w192584,940 110009540097,w192081,No Shade,,1,8,4,5,3,1,,3,,2,9,,10,5,7,6,,2,3,3,10,3,3,,,,5,7,3,1,1,2,4,7,,5,,7,12,3,3,,6,3,,1,8,8,7,3,6,7,3,7,14,11,3,4,,,4,2,1,6,2,,,1,2,2,16,9,12,3,4,22,10,19,4,4,3,9,7,9,8,10,1,1,3,,8,5,6,6,7,4,2,9,1,7,1,3,1,12,7,7,5,,3,,5,3,12,5,6,6,3,5,11,71,,,,,,,,,,,,
