Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2024 12:00,14/2/2024 16:00,14/2/2024 20:00,15/2/2024 00:00,15/2/2024 04:00,15/2/2024 08:00,15/2/2024 12:00,15/2/2024 16:00,15/2/2024 20:00,16/2/2024 00:00,16/2/2024 04:00,16/2/2024 08:00,16/2/2024 12:00,16/2/2024 16:00,16/2/2024 20:00,17/2/2024 00:00,17/2/2024 04:00,17/2/2024 08:00,17/2/2024 12:00,17/2/2024 16:00,17/2/2024 20:00,18/2/2024 00:00,18/2/2024 04:00,18/2/2024 08:00,18/2/2024 12:00,18/2/2024 16:00,18/2/2024 20:00,19/2/2024 00:00,19/2/2024 04:00,19/2/2024 08:00,19/2/2024 12:00,19/2/2024 16:00,19/2/2024 20:00,20/2/2024 00:00,20/2/2024 04:00,20/2/2024 08:00,20/2/2024 12:00,20/2/2024 16:00,20/2/2024 20:00,21/2/2024 00:00,21/2/2024 04:00,21/2/2024 08:00,21/2/2024 12:00,21/2/2024 16:00,21/2/2024 20:00,22/2/2024 00:00,22/2/2024 04:00,22/2/2024 08:00,22/2/2024 12:00,22/2/2024 16:00,22/2/2024 20:00,23/2/2024 00:00,23/2/2024 04:00,23/2/2024 08:00,23/2/2024 12:00,23/2/2024 16:00,23/2/2024 20:00,24/2/2024 00:00,24/2/2024 04:00,24/2/2024 08:00,24/2/2024 12:00,24/2/2024 16:00,24/2/2024 20:00,25/2/2024 00:00,25/2/2024 04:00,25/2/2024 08:00,25/2/2024 12:00,25/2/2024 16:00,25/2/2024 20:00,26/2/2024 00:00,26/2/2024 04:00,26/2/2024 08:00,26/2/2024 12:00,26/2/2024 16:00,26/2/2024 20:00,27/2/2024 00:00,27/2/2024 04:00,27/2/2024 08:00,27/2/2024 12:00,27/2/2024 16:00,27/2/2024 20:00,28/2/2024 00:00,28/2/2024 04:00,28/2/2024 08:00,28/2/2024 12:00,28/2/2024 16:00,28/2/2024 20:00,29/2/2024 00:00,29/2/2024 04:00,29/2/2024 08:00,29/2/2024 12:00,29/2/2024 16:00,29/2/2024 20:00,1/3/2024 00:00,1/3/2024 04:00,1/3/2024 08:00,1/3/2024 12:00,1/3/2024 16:00,1/3/2024 20:00,2/3/2024 00:00,2/3/2024 04:00,2/3/2024 08:00,2/3/2024 12:00,2/3/2024 16:00,2/3/2024 20:00,3/3/2024 00:00,3/3/2024 04:00,3/3/2024 08:00,3/3/2024 12:00,3/3/2024 16:00,3/3/2024 20:00,4/3/2024 00:00,4/3/2024 04:00,4/3/2024 08:00,4/3/2024 12:00,4/3/2024 16:00,4/3/2024 20:00,5/3/2024 00:00,5/3/2024 04:00,5/3/2024 08:00,5/3/2024 12:00,5/3/2024 16:00,5/3/2024 20:00,6/3/2024 00:00,6/3/2024 04:00,6/3/2024 08:00,6/3/2024 12:00,6/3/2024 16:00,6/3/2024 20:00,7/3/2024 00:00,7/3/2024 04:00,7/3/2024 08:00,7/3/2024 12:00
940 110007958008,w192415,940 110009538976,2422,No Shade,,6,7,4,1,5,5,8,4,,5,7,3,3,29,27,4,,2,5,5,18,6,4,17,46,1,3,7,,2,1,4,8,,7,9,19,2,9,15,4,6,34,13,6,6,8,,13,21,6,2,17,7,24,10,1,2,,13,11,22,2,1,1,4,5,2,4,13,,5,3,3,1,5,20,,11,3,8,6,5,13,8,4,3,11,9,3,3,2,6,1,8,3,6,5,2,7,2,15,7,21,2,1,14,3,2,7,13,14,5,4,15,14,,3,18,1,2,13,25,,,,,,,,,
940 110007958008,w192415,940 110012554855,w764,No Shade,,,9,6,8,5,8,,1,3,1,5,17,12,7,27,4,4,,1,5,16,1,1,8,1,,10,,5,3,4,5,,5,5,7,18,15,47,1,5,8,19,9,7,14,13,4,2,1,3,5,2,4,6,7,9,8,3,,5,3,1,14,,2,,2,3,1,7,5,4,8,2,9,3,,10,3,6,5,,7,7,4,3,8,3,12,7,1,3,5,2,11,4,3,3,2,5,4,58,39,13,5,13,10,15,16,11,10,1,9,6,10,,1,8,2,,,32,,,,,,,,,
940 110007958008,w192415,940 110009421855,2572,No Shade,,8,7,3,2,11,3,,24,5,1,18,,3,5,21,1,3,9,3,6,4,4,18,4,5,13,10,7,,,8,8,3,,9,11,4,15,1,13,38,1,26,10,10,3,7,1,3,10,11,48,5,,4,9,32,2,,9,8,31,6,4,12,1,2,,,,2,7,2,3,25,7,9,,4,1,7,,4,,3,6,,1,11,8,5,3,4,2,10,1,5,3,1,1,5,9,9,41,33,1,13,2,2,1,7,5,12,,6,11,96,65,3,,7,,5,,,,,,,,,
940 110007958008,w192415,940 110012566859,3711,No Shade,,4,6,12,11,9,45,20,41,2,3,14,16,4,14,7,13,28,8,8,8,4,4,3,,5,3,4,5,4,1,4,20,8,6,8,3,5,1,6,8,10,7,24,34,8,9,2,9,10,5,2,3,6,11,5,3,5,1,19,7,7,43,14,9,7,1,5,7,11,,9,5,15,4,2,6,23,11,9,2,1,3,7,4,7,10,5,6,8,10,1,12,1,2,,6,8,5,1,4,10,7,10,16,6,4,10,22,14,9,8,6,18,28,7,39,26,23,10,20,5,4,35,,,,,,,,,
940 110007958008,w192415,940 110012567032,2673,No Shade,,5,5,8,2,7,8,,11,1,1,2,7,4,3,3,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,3,1,1,,,1,5,3,16,,2,11,1,,1,11,4,4,,3,1,2,1,6,14,2,3,7,8,3,23,6,2,6,,9,4,5,,2,7,5,5,5,4,1,5,,7,2,1,26,4,3,8,8,13,8,8,10,6,11,7,5,,9,8,3,7,15,6,19,35,8,26,2,,,,,,,,,
940 110007958008,w192415,940 110019091903,w9510,No Shade,,13,4,6,16,6,4,3,1,3,9,5,48,52,13,1,10,2,10,1,7,7,5,1,8,4,1,3,5,30,2,12,6,11,12,7,8,,1,11,29,19,12,28,12,33,12,8,22,5,23,19,3,1,19,9,4,3,3,13,,1,14,4,9,5,,5,2,1,3,19,28,7,24,3,7,13,26,1,8,13,8,19,36,8,9,3,1,5,5,3,3,,7,2,7,2,17,17,6,23,13,6,18,6,5,5,50,12,4,3,11,15,14,5,30,1,2,19,38,5,39,8,,,,,,,,,
940 110007958008,w192415,940 110012553565,w192559,No Shade,,3,6,3,7,11,9,1,3,2,2,3,3,7,6,7,9,7,11,6,7,8,6,16,7,4,5,4,3,2,13,9,7,5,1,18,15,3,28,6,5,37,50,44,11,22,9,4,7,1,30,2,2,13,9,2,5,3,,8,1,3,3,5,4,1,,4,3,9,2,8,10,3,3,19,2,23,7,8,1,17,3,30,5,3,1,,2,4,8,1,1,1,4,,4,11,3,3,3,4,10,9,18,11,2,17,7,12,3,9,6,,9,18,7,,7,8,22,7,8,4,,,,,,,,,
940 110007958008,w192415,940 110009538791,3792,No Shade,,1,4,4,17,15,8,2,,1,2,3,12,7,9,4,2,2,5,8,7,3,6,,3,,11,4,14,,5,18,7,3,5,1,2,2,7,4,21,7,,30,20,2,4,2,13,8,2,11,46,7,,,3,7,1,,,11,4,2,9,3,1,2,2,2,5,7,36,9,13,6,10,9,,9,6,7,9,1,3,,5,1,1,1,3,5,3,5,3,,3,8,27,52,3,26,22,11,11,9,6,2,4,12,3,20,6,5,2,5,11,1,8,11,1,4,20,1,,,,,,,,,
940 110007958008,w192415,940 110009539086,w696,No Shade,,2,8,7,6,7,12,4,46,10,8,6,10,5,8,14,10,3,5,4,3,8,3,12,28,5,8,6,7,1,4,3,20,12,5,13,8,,,3,6,27,27,15,8,4,5,18,3,5,7,10,1,6,6,14,7,5,,1,6,2,8,12,2,1,1,4,1,5,,12,2,2,1,5,7,2,1,6,3,27,3,2,21,2,2,2,2,6,2,,2,2,4,3,9,26,5,4,2,3,13,14,12,24,3,10,13,2,5,20,21,5,7,1,11,,4,17,1,8,13,38,,,,,,,,,
940 110007958008,w192415,940 110019091442,w797,No Shade,,2,7,4,3,5,2,2,,4,5,21,4,7,4,10,1,25,26,,12,7,6,1,,5,2,5,7,6,3,9,16,3,19,5,10,2,7,12,12,87,70,50,11,23,1,25,28,6,7,7,4,2,9,12,1,3,11,4,51,3,2,5,2,3,2,1,,11,8,3,11,12,,,,6,5,21,5,7,12,25,10,6,3,5,1,4,20,4,1,9,,,7,2,1,3,1,,7,6,18,5,10,1,2,2,3,16,14,2,13,15,5,,8,11,,11,3,2,,,,,,,,,
