Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2024,15/2/2024,16/2/2024,17/2/2024,18/2/2024,19/2/2024,20/2/2024,21/2/2024,22/2/2024,23/2/2024,24/2/2024,25/2/2024,26/2/2024,27/2/2024,28/2/2024,29/2/2024,1/3/2024,2/3/2024,3/3/2024,4/3/2024,5/3/2024,6/3/2024,7/3/2024
951 000016108674,w192584,940 110009539086,w696,No Shade,12,61,126,45,52,59,49,34,33,54,35,28,114,63,183,42,18,58,83,25,55,,
951 000016108674,w192584,982 123812217553,2400,No Shade,3,59,46,44,21,23,120,61,55,50,17,20,88,55,125,25,18,31,48,29,65,,
951 000016108674,w192584,940 110012565646,3712,No Shade,22,40,51,27,62,38,12,30,59,38,34,19,88,129,68,23,30,36,27,46,63,,
951 000016108674,w192584,940 110019091442,w797,No Shade,10,52,45,61,43,65,32,93,36,40,60,36,76,104,141,37,25,20,36,47,81,,
951 000016108674,w192584,940 110012564878,w192255,No Shade,13,58,28,19,23,38,43,42,74,27,32,25,39,133,99,39,53,61,44,37,61,,
951 000016108674,w192584,940 110019088608,w956,No Shade,11,22,25,35,33,46,30,18,67,33,20,28,191,45,73,32,29,40,28,39,44,,
951 000016108674,w192584,940 110019088701,w192313,No Shade,6,10,53,56,21,162,30,31,42,96,61,89,56,58,31,22,22,22,22,19,95,,
951 000016108674,w192584,940 110009540316,2033,No Shade,12,56,100,50,38,41,39,113,60,70,22,36,89,103,72,15,70,101,69,42,49,,
951 000016108674,w192584,940 110009422824,y447,No Shade,9,31,24,33,17,39,76,38,46,49,49,18,94,58,110,24,140,38,35,15,104,,
951 000016108674,w192584,940 110019092805,w1664,No Shade,8,20,16,41,58,30,12,23,36,169,50,11,22,47,55,16,42,26,45,67,46,,
951 000016108674,w192584,940 110012565504,w299,No Shade,18,34,48,21,16,22,28,15,58,65,78,43,77,118,75,30,24,41,27,34,89,,
951 000016108674,w192584,940 110009539115,2583,No Shade,12,21,17,41,53,42,24,23,63,55,44,31,68,77,170,32,39,44,53,21,97,,
951 000016108674,w192584,940 110009538750,2534,No Shade,11,57,60,32,44,58,67,80,52,78,30,23,102,173,90,46,44,37,74,30,86,,
951 000016108674,w192584,940 110019091368,2637,No Shade,9,23,18,66,27,36,46,14,50,23,42,35,94,57,45,30,57,102,23,20,61,,
951 000016108674,w192584,940 110012567023,2614,No Shade,10,32,33,40,48,54,48,26,67,52,19,26,95,164,118,49,82,29,39,32,149,,
951 000016108674,w192584,940 110012567072,2035,No Shade,19,30,9,46,23,28,32,13,41,35,18,14,58,59,56,23,27,26,33,17,71,,
951 000016108674,w192584,940 110019091207,2665,No Shade,8,38,36,60,57,35,46,34,44,51,20,27,41,74,88,31,34,83,30,42,89,,
951 000016108674,w192584,940 110012566439,w192249,No Shade,15,30,34,45,83,32,51,27,39,50,57,34,18,142,76,20,55,36,33,28,82,,
951 000016108674,w192584,940 110009530573,2643,No Shade,21,51,86,40,77,79,44,18,61,60,27,12,73,96,86,32,30,34,28,16,51,,
951 000016108674,w192584,940 110012568263,w1624,No Shade,11,27,27,54,16,28,39,53,51,52,20,52,61,79,88,41,44,11,17,79,50,,
951 000016108674,w192584,940 110009539378,3798,No Shade,12,43,41,31,62,68,44,40,59,48,48,88,87,23,19,,,,,,,,
951 000016108674,w192584,940 110009539903,w192012,No Shade,11,22,40,36,43,48,33,30,30,29,126,25,60,137,166,41,54,41,22,14,25,,
951 000016108674,w192584,940 110009538648,w923,No Shade,10,44,50,19,41,68,21,22,47,16,6,50,68,63,35,41,22,30,41,34,108,,
951 000016108674,w192584,940 110019090350,w192043,No Shade,14,22,17,33,33,23,15,19,54,17,26,8,80,37,156,24,26,33,11,17,49,,
951 000016108674,w192584,940 110019090667,w1622,No Shade,15,26,24,42,36,25,19,27,55,37,11,39,51,179,88,23,30,36,35,115,57,,
951 000016108674,w192584,940 110009538770,y470,No Shade,8,16,33,29,30,21,31,33,21,19,18,105,31,72,36,53,21,45,29,22,27,,
951 000016108674,w192584,940 110012567833,w281,No Shade,14,57,68,102,51,20,54,53,33,57,37,81,63,121,127,51,26,54,25,51,64,,
951 000016108674,w192584,940 110012553844,2970,No Shade,17,25,123,34,19,51,19,14,66,74,76,11,23,20,76,25,45,56,68,36,70,,
951 000016108674,w192584,940 110012554703,2343,No Shade,10,63,63,31,50,50,39,44,76,26,49,33,74,128,72,24,38,57,33,128,75,,
951 000016108674,w192584,940 110009538618,w1544,No Shade,8,22,11,10,14,14,33,39,32,118,15,9,27,93,44,12,14,36,30,164,55,,
951 000016108674,w192584,940 110009541386,w192519,No Shade,15,50,64,48,31,40,36,33,62,41,90,18,238,51,61,41,103,59,52,29,44,,
951 000016108674,w192584,940 110012566988,w1726,No Shade,10,45,39,46,19,29,31,59,45,44,14,12,56,101,29,75,58,20,28,71,68,,
951 000016108674,w192584,940 110009538415,w9559,No Shade,18,40,27,24,40,34,50,9,35,91,38,18,81,68,102,26,37,54,41,21,46,,
951 000016108674,w192584,940 110009540648,w744,No Shade,15,28,33,58,41,24,28,13,62,47,26,6,64,34,10,,,,,,,,
951 000016108674,w192584,940 110012567028,w1683,No Shade,,,,,,,,,13,35,28,23,50,62,114,53,66,54,46,58,108,,
951 000016108674,w192584,940 110009423261,2633,No Shade,6,64,52,26,21,21,16,23,32,33,36,54,39,42,22,21,85,32,26,40,66,,
951 000016108674,w192584,940 110009539841,w287,No Shade,10,34,25,32,30,34,20,25,38,24,29,45,53,100,131,42,43,25,25,41,57,,
951 000016108674,w192584,940 110009539369,2490,No Shade,14,38,27,49,59,119,55,66,74,40,92,39,73,151,220,41,39,22,34,38,117,,
951 000016108674,w192584,940 110009423327,w1791,No Shade,11,41,63,45,52,24,42,26,40,60,36,48,89,54,59,34,31,84,31,28,90,,
951 000016108674,w192584,940 110009539082,2479,No Shade,9,79,114,48,34,50,21,48,29,27,23,49,70,94,74,36,23,43,57,34,81,,
951 000016108674,w192584,940 110009539487,w192286,No Shade,17,51,41,25,42,22,38,58,24,14,68,11,64,55,53,26,54,54,33,34,81,,
951 000016108674,w192584,940 110009538428,w1612,No Shade,9,59,56,32,27,34,27,38,61,45,20,10,62,47,125,37,56,30,23,37,97,,
951 000016108674,w192584,940 110012554855,w764,No Shade,9,26,39,31,42,22,37,12,61,31,51,9,56,68,168,40,37,84,28,94,68,,
951 000016108674,w192584,940 110009541265,2608,No Shade,3,63,68,41,42,44,37,25,56,339,397,23,35,63,113,32,49,37,40,18,51,,
951 000016108674,w192584,940 110009538608,w192160,No Shade,10,23,28,31,28,28,24,23,37,33,19,9,23,23,12,,,,,,,,
951 000016108674,w192584,940 110009540874,w192057,No Shade,9,28,94,14,39,20,49,35,80,100,124,45,79,111,103,29,64,28,42,28,221,,
951 000016108674,w192584,940 110009540097,w192081,No Shade,9,16,26,21,16,19,23,27,27,48,13,10,44,63,46,18,34,25,22,37,90,,
951 000016108674,w192584,940 110019091248,3726,No Shade,12,26,19,36,18,21,39,78,10,161,111,14,77,26,49,25,28,21,29,28,71,,
951 000016108674,w192584,940 110012566899,w9537,No Shade,4,19,22,13,15,15,15,16,166,27,20,29,126,68,41,24,35,39,3,53,45,,
951 000016108674,w192584,940 110009541497,2667,No Shade,39,64,59,45,56,40,34,76,55,53,44,22,68,79,127,40,50,51,54,64,61,,
951 000016108674,w192584,940 110009540871,2528,No Shade,9,51,49,46,45,34,31,34,80,70,46,25,74,82,109,34,61,48,64,77,62,,
951 000016108674,w192584,940 110012567497,w1653,No Shade,8,35,44,23,35,42,22,30,62,67,71,69,60,72,93,57,194,56,56,26,57,,
951 000016108674,w192584,940 110012567575,2712,No Shade,15,56,27,53,71,51,50,66,83,51,47,48,57,39,118,22,32,25,41,43,93,,
951 000016108674,w192584,940 110009538619,3736,No Shade,12,20,30,61,78,30,48,26,51,50,21,85,69,31,66,190,21,35,50,19,44,,
951 000016108674,w192584,940 110012565591,2684,No Shade,12,26,35,19,37,29,41,45,48,29,60,115,106,15,26,1,,,,,,,
951 000016108674,w192584,940 110012565654,2618,No Shade,9,33,34,41,38,42,44,70,44,55,17,74,52,126,116,24,95,52,69,36,58,,
951 000016108674,w192584,940 110009540139,2945,No Shade,20,28,7,14,28,21,36,21,30,38,70,13,53,40,91,43,12,34,34,32,22,,
951 000016108674,w192584,940 110012553568,2974,No Shade,,,,,,,,,14,9,11,42,31,23,58,26,38,44,20,55,80,,
951 000016108674,w192584,940 110009541538,w192278,No Shade,3,15,40,25,98,45,31,17,46,84,12,54,36,52,62,38,29,66,25,30,94,,
951 000016108674,w192584,940 110009538666,w986,No Shade,10,18,70,28,54,21,22,14,28,25,37,116,64,56,59,20,55,90,26,141,139,,
951 000016108674,w192584,940 110009540453,2371,No Shade,8,21,71,30,32,34,30,22,46,57,25,17,32,75,27,25,36,14,26,33,106,,
951 000016108674,w192584,940 110009538631,2316,No Shade,5,57,35,24,42,58,73,41,64,30,18,23,50,75,166,20,48,42,57,36,59,,
951 000016108674,w192584,940 110009423027,2542,No Shade,20,33,34,54,44,46,57,59,74,42,58,35,158,104,98,38,85,117,63,52,49,,
951 000016108674,w192584,940 110009538594,2689,No Shade,12,20,61,27,14,24,28,26,18,22,64,26,46,65,66,42,36,36,39,29,75,,
951 000016108674,w192584,940 110009540716,2385,No Shade,9,46,27,44,24,17,29,30,29,36,61,60,33,66,56,39,35,48,39,68,98,,
951 000016108674,w192584,940 110012553817,w1797,No Shade,6,28,52,38,39,41,58,68,25,57,27,136,81,37,77,18,28,33,60,38,83,,
951 000016108674,w192584,940 110012554841,2940,No Shade,17,66,32,42,50,51,33,33,40,60,41,15,70,132,52,74,27,83,49,31,108,,
951 000016108674,w192584,940 110009539709,2475,No Shade,13,85,83,42,44,47,26,69,43,61,25,13,59,48,80,28,43,48,311,38,57,,
951 000016108674,w192584,940 110009541057,2953,No Shade,7,32,39,48,47,52,64,56,34,31,40,18,91,27,77,35,26,33,36,20,50,,
951 000016108674,w192584,940 110009539843,2439,No Shade,19,36,74,46,30,19,25,54,45,42,67,23,115,90,88,42,20,31,35,46,152,,
951 000016108674,w192584,940 110019089913,3715,No Shade,11,161,139,24,26,36,25,35,29,29,34,36,73,97,96,49,55,12,103,158,128,,
951 000016108674,w192584,940 110019091494,y1092,No Shade,18,71,55,52,62,48,20,49,82,63,49,30,107,93,64,28,59,18,38,52,93,,
951 000016108674,w192584,940 110009539785,y1077,No Shade,13,38,66,52,45,32,19,35,103,33,29,124,94,269,108,35,24,29,36,64,38,,
951 000016108674,w192584,940 110009538776,w978,No Shade,8,18,34,25,24,39,11,28,43,53,13,83,53,44,83,10,28,39,43,20,46,,
951 000016108674,w192584,940 110009540172,w9277,No Shade,15,71,73,52,68,27,56,47,45,39,41,16,31,35,21,,,,,,,,
951 000016108674,w192584,940 110009538450,w9279,No Shade,6,49,34,80,17,33,70,71,33,25,14,32,69,157,132,17,20,35,19,21,92,,
951 000016108674,w192584,940 110012565638,w1549,No Shade,52,55,35,21,35,44,35,17,76,29,106,16,71,73,36,21,15,45,27,17,49,,
951 000016108674,w192584,940 110012554102,y1028,No Shade,7,35,26,17,50,33,53,25,70,35,30,40,140,117,92,41,35,26,20,57,62,,
951 000016108674,w192584,940 110009422194,w1689,No Shade,8,35,23,26,47,55,83,75,40,38,10,82,85,153,67,18,62,43,19,54,42,,
951 000016108674,w192584,940 110009541522,w1713,No Shade,9,69,50,39,40,28,56,38,104,67,59,50,95,160,80,42,42,26,32,40,165,,
951 000016108674,w192584,940 110012554680,Y498,No Shade,19,52,52,93,21,53,35,52,36,156,34,17,58,42,104,32,37,17,28,14,34,,
951 000016108674,w192584,940 110019091831,w1671,No Shade,12,62,24,91,49,45,39,30,41,44,23,69,126,53,79,48,34,82,15,6,66,,
951 000016108674,w192584,940 110012566852,2669,No Shade,9,35,51,39,39,35,39,20,25,21,20,5,12,8,4,,,,,,,,
951 000016108674,w192584,940 110012554149,2036,No Shade,14,57,66,28,73,39,31,28,45,80,30,38,86,47,84,40,16,30,39,33,124,,
951 000016108674,w192584,940 110009422847,2645,No Shade,22,55,37,142,76,51,67,52,74,42,72,79,76,87,124,41,42,42,55,55,117,,
951 000016108674,w192584,940 110009538656,w1597,No Shade,15,49,44,41,39,30,54,121,57,53,58,102,106,194,125,32,86,47,34,66,84,,
951 000016108674,w192584,940 110009539851,w192094,No Shade,11,54,27,47,37,32,66,24,39,42,64,41,71,58,62,45,34,65,66,42,39,,
951 000016108674,w192584,940 110019091208,w293,No Shade,6,18,22,37,24,57,24,53,48,51,33,21,118,47,72,21,36,40,58,47,48,,
951 000016108674,w192584,940 110012567439,3763,No Shade,12,23,24,28,38,43,34,15,34,40,40,71,45,48,88,28,94,186,21,32,37,,
951 000016108674,w192584,940 110009538934,2714,No Shade,10,22,39,27,29,26,33,17,64,87,58,14,85,36,64,46,49,24,22,36,32,,
951 000016108674,w192584,940 110009540403,w192579,No Shade,5,16,35,23,40,40,25,35,70,79,19,10,56,52,107,30,16,31,61,21,40,,
951 000016108674,w192584,940 110009539003,w768,No Shade,7,29,24,32,25,58,24,24,28,56,29,126,94,29,37,29,22,54,28,57,65,,
951 000016108674,w192584,940 110012554069,2649,No Shade,17,32,51,22,48,39,43,36,53,42,38,17,177,127,52,18,50,66,61,23,117,,
951 000016108674,w192584,940 110009422169,2380,No Shade,10,24,56,28,26,16,28,52,55,45,18,5,10,13,12,,,,,,,,
951 000016108674,w192584,940 110009539138,2391,No Shade,21,32,39,18,23,38,17,18,28,40,62,36,35,97,54,42,243,48,20,72,78,,
951 000016108674,w192584,940 110019089803,w1605,No Shade,10,34,49,42,26,35,39,38,44,30,9,77,170,58,63,30,42,33,52,27,25,,
951 000016108674,w192584,940 110009539357,w1707,No Shade,7,35,25,32,29,40,20,18,52,18,32,24,54,29,223,45,21,65,29,66,78,,
951 000016108674,w192584,940 110019090739,2950,No Shade,7,40,24,78,57,21,25,22,45,26,71,20,45,63,95,34,51,112,79,43,117,,
951 000016108674,w192584,940 110009539831,2331,No Shade,,,,,,,,,16,10,11,31,75,78,132,287,58,60,49,46,66,,
951 000016108674,w192584,940 110012554430,2644,No Shade,5,49,22,16,39,44,47,38,31,37,24,10,135,38,141,47,27,30,50,67,119,,
951 000016108674,w192584,940 110009540303,2928,No Shade,14,39,41,119,28,44,59,28,57,65,59,67,90,88,125,46,17,25,34,59,86,,
951 000016108674,w192584,940 110019089959,2711,No Shade,15,51,128,100,50,48,36,31,67,49,23,46,34,125,105,62,33,41,51,29,100,,
951 000016108674,w192584,940 110009422300,2575,No Shade,13,47,112,13,43,26,38,98,49,20,55,31,45,118,150,23,13,46,23,22,55,,
951 000016108674,w192584,940 110019090431,2344,No Shade,5,20,47,44,42,47,14,22,36,24,46,42,67,113,91,41,10,26,27,37,34,,
951 000016108674,w192584,940 110009539979,y435,No Shade,17,28,41,57,44,60,72,23,75,115,58,23,66,164,97,35,25,40,46,57,126,,
951 000016108674,w192584,940 110019091989,2660,No Shade,9,45,54,56,57,32,37,32,34,61,30,13,89,105,96,30,44,20,24,29,45,,
951 000016108674,w192584,940 110009539429,y1074,No Shade,9,31,47,46,30,38,51,108,85,34,63,15,75,82,165,50,30,64,40,85,123,,
951 000016108674,w192584,940 110012553725,w789,No Shade,16,23,76,19,17,40,38,43,51,41,38,60,38,53,55,37,32,61,23,29,99,,
951 000016108674,w192584,940 110012567583,w928,No Shade,19,35,63,33,49,37,38,46,80,54,17,14,62,45,57,33,73,110,44,58,61,,
951 000016108674,w192584,940 110009541499,2560,No Shade,8,26,109,33,31,68,49,40,50,16,32,10,85,56,43,25,38,40,29,144,49,,
951 000016108674,w192584,940 110009421854,2312,No Shade,13,53,20,37,41,123,44,71,47,39,64,31,121,105,79,24,39,22,17,73,122,,
951 000016108674,w192584,940 110009540395,y443,No Shade,9,35,17,16,48,34,45,53,26,16,32,19,7,13,15,,,,,,,,
951 000016108674,w192584,940 110019089989,2557,No Shade,10,52,42,47,38,27,49,60,51,34,97,36,45,98,78,36,59,20,77,45,49,,
951 000016108674,w192584,940 110012554425,2332,No Shade,9,29,52,52,34,28,42,48,53,33,30,119,50,94,56,33,31,19,35,74,92,,
951 000016108674,w192584,940 110019090722,w192530,No Shade,11,39,47,68,35,42,50,31,73,60,5,20,85,48,86,23,62,68,50,44,147,,
951 000016108674,w192584,940 110009540770,w1751,No Shade,8,22,25,25,40,17,27,46,69,90,28,79,60,56,70,25,47,49,16,26,41,,
951 000016108674,w192584,940 110012553572,w1638,No Shade,11,30,29,21,38,18,51,64,40,65,152,17,95,96,83,25,42,62,30,41,53,,
951 000016108674,w192584,940 110012567192,w1750,No Shade,17,43,107,78,50,27,46,43,83,63,17,45,87,54,54,34,56,46,24,54,137,,
951 000016108674,w192584,940 110009540560,w784,No Shade,5,23,26,25,7,30,34,27,18,27,26,49,37,33,127,63,23,24,19,21,42,,
951 000016108674,w192584,940 110012553575,w192108,No Shade,7,33,79,34,29,32,53,14,38,26,2,15,11,9,8,,,,,,,,
951 000016108674,w192584,940 110009423147,2680,No Shade,22,31,51,49,18,42,48,68,101,69,54,39,80,106,84,36,21,13,53,51,41,,
951 000016108674,w192584,940 110009538497,2459,No Shade,2,21,21,15,55,72,41,25,112,45,36,8,36,52,55,69,62,74,26,20,41,,
951 000016108674,w192584,940 110009422875,2029,No Shade,7,26,17,31,43,34,35,62,47,66,56,14,31,42,73,26,52,47,59,24,49,,
951 000016108674,w192584,940 110009541579,2419,No Shade,13,71,45,73,68,50,51,71,130,33,57,86,46,117,83,35,45,62,37,63,120,,
951 000016108674,w192584,940 110009538382,2682,No Shade,18,78,42,48,44,23,26,26,43,111,30,60,35,84,73,42,32,46,37,28,55,,
951 000016108674,w192584,940 110009540821,2352,No Shade,13,44,32,22,37,29,30,34,33,44,8,48,39,96,42,28,15,24,31,24,47,,
951 000016108674,w192584,940 110009539365,w1721,No Shade,13,43,14,28,16,80,74,76,46,26,41,20,32,24,26,,,,,,,,
951 000016108674,w192584,940 110009539563,y1060,No Shade,11,47,26,34,16,16,33,62,39,42,50,70,110,71,81,27,20,36,23,28,60,,
951 000016108674,w192584,940 110019088662,2921,No Shade,11,29,14,35,13,44,32,18,55,63,47,21,39,19,13,,,,,,,,
951 000016108674,w192584,940 110019091076,2954,No Shade,13,35,34,32,28,42,15,30,32,30,20,,10,17,2,,,,,,,,
951 000016108674,w192584,940 110012566807,2678,No Shade,13,65,88,47,41,34,39,97,69,62,56,15,54,56,103,47,68,36,65,68,155,,
951 000016108674,w192584,940 110009423180,2382,No Shade,15,51,37,34,48,40,46,91,95,66,19,53,98,147,197,35,64,42,32,55,80,,
951 000016108674,w192584,940 110019088585,2496,No Shade,10,13,37,22,38,28,56,44,42,105,56,11,107,46,84,44,24,73,32,37,50,,
951 000016108674,w192584,940 110009541605,w273,No Shade,18,61,52,52,33,25,48,31,23,42,37,146,64,39,50,26,32,32,31,167,29,,
951 000016108674,w192584,940 110009539773,3741,No Shade,19,73,23,42,42,51,56,54,56,99,65,175,206,50,81,36,28,37,45,50,135,,
951 000016108674,w192584,940 110019091247,2346,No Shade,10,11,26,37,20,24,38,24,48,63,30,24,39,64,76,81,82,55,51,20,51,,
951 000016108674,w192584,940 110009541593,2533,No Shade,23,38,38,46,49,34,55,38,45,63,26,47,120,470,136,20,69,38,28,48,110,,
951 000016108674,w192584,940 110009538728,w192503,No Shade,11,43,22,44,38,19,26,28,42,31,56,10,83,71,115,30,64,46,31,31,70,,
951 000016108674,w192584,940 110019091488,w1641,No Shade,8,32,51,31,13,76,73,28,67,28,54,33,31,67,85,45,18,31,44,42,27,,
951 000016108674,w192584,940 110019090723,2388,No Shade,12,36,71,51,35,45,41,29,67,60,47,26,61,53,111,28,40,26,33,20,48,,
951 000016108674,w192584,940 110009538759,w192334,No Shade,17,54,32,25,40,44,31,58,64,65,38,70,61,70,105,42,23,54,36,12,46,,
951 000016108674,w192584,940 110012565516,w1673,No Shade,22,13,52,47,36,63,30,28,63,143,59,47,76,57,110,32,36,48,55,15,,,
951 000016108674,w192584,940 110009540904,w192320,No Shade,6,12,19,18,29,50,38,24,32,29,38,618,165,9,68,22,11,14,20,37,65,,
951 000016108674,w192584,940 110019088447,w723,No Shade,11,33,39,55,31,28,48,30,72,69,60,28,129,89,92,45,40,35,29,22,113,,
951 000016108674,w192584,940 110009422259,2527,No Shade,10,35,33,19,139,41,30,20,27,15,33,6,55,77,77,23,29,27,25,38,35,,
951 000016108674,w192584,940 110019090286,2591,No Shade,12,54,43,33,42,31,36,38,30,44,18,16,81,57,65,20,130,56,117,29,76,,
951 000016108674,w192584,940 110009540374,w192226,No Shade,19,34,52,33,73,57,34,63,43,62,59,79,147,51,75,26,22,29,26,46,79,,
951 000016108674,w192584,940 110012567496,2647,No Shade,14,39,39,67,31,53,49,90,46,72,53,17,45,104,220,66,69,18,53,42,87,,
951 000016108674,w192584,940 110019088419,w192215,No Shade,7,57,19,44,31,48,42,39,112,109,63,50,67,88,73,41,32,112,86,25,73,,
951 000016108674,w192584,940 110012554130,w192254,No Shade,7,53,32,24,54,33,43,45,71,43,32,59,93,225,99,31,53,27,19,49,113,,
951 000016108674,w192584,940 110009539735,w192251,No Shade,8,41,49,35,29,28,66,89,45,25,561,78,120,75,76,34,18,17,17,23,39,,
951 000016108674,w192584,940 110012554697,w939,No Shade,7,23,30,88,76,31,41,90,83,30,39,91,91,63,52,18,42,42,57,8,,,
951 000016108674,w192584,940 110016191551,2707,No Shade,16,111,42,35,47,39,32,33,93,83,60,12,54,81,100,53,32,29,52,65,113,,
951 000016108674,w192584,940 110012567361,2420,No Shade,6,26,51,31,36,24,27,17,40,144,31,18,32,65,75,22,34,32,37,23,89,,
951 000016108674,w192584,940 110009540226,2694,No Shade,26,29,43,22,26,54,30,17,39,26,16,39,33,50,43,17,31,30,11,201,116,,
951 000016108674,w192584,940 110009540104,w192120,No Shade,9,22,54,17,34,64,63,28,73,32,31,15,81,24,51,32,60,60,74,37,73,,
951 000016108674,w192584,940 110009539590,2939,No Shade,5,18,75,43,36,60,37,89,47,55,28,10,58,44,40,34,15,24,43,33,62,,
951 000016108674,w192584,940 110019088542,3737,No Shade,9,48,20,84,11,45,20,28,46,31,8,48,64,51,203,46,52,68,16,18,34,,
951 000016108674,w192584,940 110009539352,y1005,No Shade,16,33,37,46,95,62,25,35,55,38,127,28,63,110,66,33,83,39,49,44,154,,
951 000016108674,w192584,940 110019088430,2515,No Shade,11,65,19,27,30,20,28,21,68,26,62,21,28,48,37,33,22,,,,,,
951 000016108674,w192584,940 110009539060,2700,No Shade,6,72,38,23,64,33,18,32,62,101,88,50,131,77,47,37,55,37,70,65,94,,
951 000016108674,w192584,940 110012554100,w1698,No Shade,12,33,64,61,32,77,51,15,28,23,67,9,34,55,266,160,24,51,81,32,115,,
951 000016108674,w192584,940 110012565593,w192587,No Shade,11,44,26,27,34,20,24,28,40,39,29,50,35,41,38,40,263,54,45,32,58,,
951 000016108674,w192584,940 110012566524,w1547,No Shade,6,41,55,42,55,60,39,21,41,48,24,34,100,89,191,32,50,43,41,31,38,,
951 000016108674,w192584,940 110009539504,2696,No Shade,8,34,52,37,33,37,35,65,37,57,39,34,43,32,45,61,70,45,40,48,95,,
951 000016108674,w192584,940 110019091322,2340,No Shade,11,41,32,25,55,36,37,28,43,51,14,49,36,47,31,33,46,42,24,14,144,,
951 000016108674,w192584,940 110009421996,o26,No Shade,9,58,57,33,91,37,35,29,43,127,49,41,52,84,31,27,25,44,55,20,45,,
951 000016108674,w192584,940 110019091568,2329,No Shade,14,31,35,31,23,46,23,19,53,82,186,22,52,66,113,29,30,47,37,15,107,,
951 000016108674,w192584,940 110019091386,y427,No Shade,10,26,41,47,34,118,48,47,36,42,23,34,139,68,51,52,70,77,42,16,91,,
951 000016108674,w192584,940 110009539789,3716,No Shade,18,48,41,35,84,77,86,33,45,79,16,33,40,76,49,38,,,,,,,
951 000016108674,w192584,940 110009541227,2361,No Shade,10,29,21,18,29,29,22,45,69,42,35,114,78,198,249,28,89,27,42,26,23,,
951 000016108674,w192584,940 110009540534,2697,No Shade,8,43,37,36,39,27,31,29,17,22,16,10,37,106,47,31,15,12,12,20,41,,
951 000016108674,w192584,940 110019088549,w290,No Shade,15,18,54,63,52,13,28,16,40,24,33,27,51,152,87,51,10,34,51,168,99,,
951 000016108674,w192584,940 110009541612,w192202,No Shade,28,26,48,42,34,16,36,50,41,71,70,41,61,88,71,144,41,37,31,28,34,,
951 000016108674,w192584,940 110009538695,2324,No Shade,11,70,32,45,34,44,44,42,73,34,27,27,62,72,75,338,22,35,40,27,65,,
951 000016108674,w192584,940 110009541616,2549,No Shade,22,60,69,54,63,68,42,14,54,44,101,86,143,132,141,39,46,35,41,39,53,,
951 000016108674,w192584,940 110009538339,2971,No Shade,17,61,54,33,56,40,43,32,41,95,118,34,44,73,129,48,63,44,50,29,66,,
951 000016108674,w192584,940 110012565614,w263,No Shade,9,36,28,22,42,29,32,31,25,68,170,6,52,41,98,12,24,26,24,52,52,,
951 000016108674,w192584,940 110009541085,y1088,No Shade,13,33,26,19,15,22,34,13,51,33,58,26,78,36,55,31,77,43,38,52,66,,
951 000016108674,w192584,940 110019089945,y457,No Shade,9,37,35,47,47,40,47,115,50,85,61,36,113,93,38,21,19,56,29,38,68,,
951 000016108674,w192584,940 110012565619,w788,No Shade,6,43,35,39,26,41,90,28,50,18,58,11,65,47,118,106,31,79,27,30,49,,
951 000016108674,w192584,940 110009540814,3742,No Shade,3,21,20,28,22,46,49,48,54,79,28,11,42,19,70,201,40,38,41,21,90,,
951 000016108674,w192584,940 110009538664,w1556,No Shade,12,82,38,30,30,54,53,29,53,62,43,30,39,83,48,45,40,21,31,28,26,,
951 000016108674,w192584,940 110012553757,w280,No Shade,9,45,29,40,23,40,28,24,64,60,7,85,58,126,106,62,39,33,21,34,114,,
951 000016108674,w192584,940 110019090064,2975,No Shade,9,37,28,35,72,46,33,74,35,48,92,31,54,135,184,30,44,35,37,32,161,,
951 000016108674,w192584,940 110012553565,w192559,No Shade,19,31,21,45,43,45,44,30,40,36,33,38,106,139,94,32,11,17,64,30,89,,
951 000016108674,w192584,940 110009539736,w745,No Shade,13,67,48,29,44,45,51,141,43,81,49,28,96,121,90,57,31,100,30,52,92,,
951 000016108674,w192584,940 110019090013,2540,No Shade,8,30,22,127,42,48,47,53,66,26,20,23,134,41,73,37,85,39,56,78,106,,
951 000016108674,w192584,940 110009538609,2943,No Shade,25,40,46,28,52,46,41,23,53,35,25,56,71,41,48,142,69,52,42,34,45,,
951 000016108674,w192584,940 110009540288,2320,No Shade,9,23,41,14,28,36,32,41,48,34,15,19,73,44,91,23,32,36,27,55,39,,
951 000016108674,w192584,940 110009541010,w300,No Shade,5,69,47,20,37,30,69,16,37,27,53,25,160,64,107,44,37,106,13,19,58,,
951 000016108674,w192584,940 110019092789,2944,No Shade,11,33,22,20,39,81,32,20,23,44,69,33,39,38,34,24,16,19,20,44,28,,
951 000016108674,w192584,940 110012554293,y423,No Shade,6,25,37,28,40,30,21,64,53,26,44,47,45,65,124,51,19,25,56,49,81,,
951 000016108674,w192584,940 110009541075,2942,No Shade,6,61,28,34,56,46,17,23,50,36,97,59,32,84,81,46,27,61,63,57,187,,
951 000016108674,w192584,940 110009539564,w192186,No Shade,17,69,26,23,41,48,26,25,72,37,20,36,86,105,90,37,55,32,42,64,68,,
951 000016108674,w192584,940 110009538938,2582,No Shade,13,25,19,22,29,27,22,73,39,34,42,76,63,116,198,16,27,57,64,36,112,,
951 000016108674,w192584,940 110009540753,2541,No Shade,5,31,17,40,35,29,57,29,32,27,41,128,19,38,58,25,32,65,65,26,22,,
