Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2023,15/2/2023,16/2/2023,17/2/2023,18/2/2023,19/2/2023,20/2/2023,21/2/2023,22/2/2023,23/2/2023,24/2/2023,25/2/2023,26/2/2023,27/2/2023,28/2/2023,1/3/2023,2/3/2023,3/3/2023,4/3/2023,5/3/2023,6/3/2023,7/3/2023
940 110012305980,w1637,940 110016191551,w192406,No Shade,40,20,41,21,64,42,24,45,48,45,55,45,44,7,,,,,,,,
940 110012305980,w1637,940 110012553757,w736,No Shade,13,27,15,18,53,65,57,33,36,57,27,41,49,51,78,26,51,88,32,69,74,
940 110012305980,w1637,940 110006544051,2328,No Shade,15,45,31,52,57,49,31,32,58,65,65,63,54,39,60,76,104,58,76,92,159,
940 110012305980,w1637,940 110009539429,MU2938,No Shade,15,43,27,33,56,54,51,63,62,76,42,53,105,51,118,111,75,57,116,58,75,
940 110012305980,w1637,940 110012566807,2696,No Shade,15,42,48,44,31,46,24,32,89,53,25,26,66,68,178,71,25,90,28,28,111,
940 110012305980,w1637,940 110009422847,2024,No Shade,11,29,38,60,23,54,19,53,35,49,22,65,37,40,48,46,32,57,38,63,39,
940 110012305980,w1637,940 110009539378,2378,No Shade,26,49,42,27,72,42,24,91,69,82,71,33,46,65,84,23,49,44,74,99,211,
940 110012305980,w1637,940 110009539487,Y1093,No Shade,11,16,22,31,23,43,57,42,40,46,77,57,145,51,49,33,67,116,108,66,14,
940 110012305980,w1637,940 110009541265,W192251,No Shade,15,77,45,32,26,70,66,60,29,57,32,128,52,56,64,24,33,34,37,42,2,
940 110012305980,w1637,940 110006544506,2032,No Shade,24,41,23,50,59,30,25,49,58,64,82,34,92,36,35,43,69,52,50,53,6,
940 110012305980,w1637,940 110012567028,W1556,No Shade,5,52,22,34,77,48,42,74,39,49,52,41,50,69,98,34,54,56,65,96,1,
940 110012305980,w1637,940 110006544658,2509,No Shade,21,67,41,17,48,40,71,90,28,36,39,24,87,69,76,39,45,42,38,47,93,
940 110012305980,w1637,940 110006720136,2381,No Shade,13,51,37,32,25,52,60,39,52,45,26,33,6,,,,,,,,,
940 110012305980,w1637,940 110009540874,2637,No Shade,3,25,70,66,41,34,17,37,98,48,32,75,53,76,143,64,69,60,78,102,25,
940 110012305980,w1637,940 110012568263,2994,No Shade,11,28,47,37,48,52,11,28,101,72,17,26,66,93,94,44,64,105,105,50,117,
940 110012305980,w1637,940 110009540403,2353,No Shade,15,52,22,23,30,45,42,64,43,46,69,28,58,60,58,45,35,62,32,44,10,
940 110012305980,w1637,940 110009539785,2493,No Shade,28,33,94,47,37,63,19,68,82,73,38,41,49,78,70,46,29,100,37,7,,
940 110012305980,w1637,940 110009421855,2572,No Shade,6,14,26,46,39,38,49,35,24,22,14,16,11,8,16,,,,,,,
940 110012305980,w1637,940 110009539979,W192358,No Shade,8,16,146,26,32,33,22,60,48,54,28,32,105,54,121,48,72,72,88,72,,
940 110012305980,w1637,940 110006544025,2545,No Shade,21,11,25,18,22,42,35,43,24,70,20,34,67,78,48,140,106,31,32,,,
940 110012305980,w1637,940 110009423262,W192426,No Shade,6,34,34,30,68,33,36,28,45,72,72,32,63,33,46,36,81,46,50,51,45,
940 110012305980,w1637,940 110009538664,2437,No Shade,9,31,39,15,83,41,52,51,26,49,39,53,18,18,56,28,32,63,26,14,21,
940 110012305980,w1637,940 110009539860,2622,No Shade,3,13,37,73,31,83,18,46,35,16,16,7,12,14,5,,,,,,,
940 110012305980,w1637,940 110009540374,2928,No Shade,25,26,32,54,39,38,29,44,63,29,59,62,79,57,49,39,79,56,30,100,35,
940 110012305980,w1637,940 110006544250,Y1018,No Shade,4,8,23,1,,,,3,11,16,20,27,42,42,62,34,29,26,54,77,23,
940 110012305980,w1637,940 110009421996,w9562,No Shade,5,20,36,18,38,24,36,33,31,45,97,49,82,56,28,45,37,39,54,36,13,
940 110012305980,w1637,940 110009539709,W192166,No Shade,4,36,38,81,66,52,40,52,14,53,29,26,83,91,60,52,42,46,49,43,37,
940 110012305980,w1637,940 110006544091,w192160,No Shade,32,60,38,62,63,39,65,66,59,47,94,60,114,41,49,45,57,44,34,31,29,
940 110012305980,w1637,940 110009539914,2604,No Shade,27,17,30,55,27,70,32,40,44,50,65,32,73,56,42,37,29,44,24,56,18,
940 110012305980,w1637,940 110006544309,2423,No Shade,11,53,22,59,22,34,41,59,55,39,17,87,53,42,95,45,45,42,59,62,77,
940 110012305980,w1637,940 110012565400,W300,No Shade,9,24,30,24,20,28,46,24,25,26,57,10,41,24,,,,,,,,
940 110012305980,w1637,940 110009538497,2947,No Shade,16,17,17,49,33,52,31,44,41,33,19,37,57,45,32,30,41,31,24,43,23,
940 110012305980,w1637,940 110009538382,O45,No Shade,20,11,14,38,46,23,21,31,74,49,52,56,71,36,61,43,82,61,65,55,,
940 110012305980,w1637,940 110009422300,2962,No Shade,19,29,14,29,31,46,24,34,30,43,32,91,53,35,32,37,27,43,30,30,47,
940 110012305980,w1637,940 110006544403,W1707,No Shade,6,34,18,23,37,30,35,53,54,59,48,60,82,45,111,41,47,60,40,72,31,
940 110012305980,w1637,940 110009541760,2310,No Shade,12,24,25,35,27,46,28,31,33,53,63,46,59,76,37,33,47,49,73,54,,
940 110012305980,w1637,940 110006543939,W192556,No Shade,26,73,47,59,39,29,33,37,74,39,47,102,79,51,40,14,32,34,42,52,81,
940 110012305980,w1637,940 110006544980,2981,No Shade,16,35,32,25,22,34,72,82,50,21,63,26,24,45,56,28,26,59,30,44,19,
940 110012305980,w1637,940 110012554130,w192330,No Shade,7,61,53,68,29,41,28,64,78,52,29,55,44,47,75,65,41,55,38,32,,
940 110012305980,w1637,940 110009423180,W1654,No Shade,15,83,69,44,54,61,39,42,41,51,22,39,45,103,99,54,56,45,43,96,63,
940 110012305980,w1637,940 110012553725,2411,No Shade,19,71,18,42,37,80,29,44,89,57,75,41,31,46,54,35,33,42,24,59,49,
940 110012305980,w1637,940 110009540172,w9561,No Shade,5,44,30,41,27,31,30,44,52,32,58,43,50,41,51,81,49,53,21,59,7,
940 110012305980,w1637,940 110009539447,w9281,No Shade,20,73,50,27,28,67,37,33,52,67,24,78,36,65,71,58,40,93,48,71,57,
940 110012305980,w1637,940 110009423327,3738,No Shade,10,112,65,27,24,40,38,40,37,27,31,35,38,24,62,71,39,45,36,24,62,
940 110012305980,w1637,940 110009422821,W1673,No Shade,3,28,33,13,27,56,103,47,61,74,44,32,32,41,58,30,35,48,29,21,16,
940 110012305980,w1637,940 110009539831,2971,No Shade,10,20,15,32,31,31,20,31,73,91,57,77,60,62,91,39,74,98,21,72,29,
940 110012305980,w1637,940 110012564878,w192408,No Shade,9,18,61,43,52,36,47,75,46,30,227,96,82,71,56,48,89,69,72,68,,
940 110012305980,w1637,940 110012565614,2945,No Shade,12,24,26,34,70,45,38,56,83,47,91,105,60,55,56,162,47,44,41,54,,
940 110012305980,w1637,940 110009539482,W1619,No Shade,14,227,28,21,17,33,29,24,12,59,46,22,28,51,39,18,47,32,36,88,,
940 110012305980,w1637,940 110009541593,3767,No Shade,16,28,22,18,30,45,92,55,47,53,25,133,23,77,96,53,55,51,40,183,31,
940 110012305980,w1637,940 110006544321,2597,No Shade,1,49,67,52,61,32,29,66,68,66,56,51,81,24,64,50,65,40,49,62,52,
940 110012305980,w1637,940 110009539281,w192005,No Shade,13,22,40,39,30,46,26,73,32,26,56,15,42,32,60,22,34,83,34,64,84,
940 110012305980,w1637,940 110009538415,w192410,No Shade,9,32,23,19,46,30,47,36,20,49,96,47,26,59,87,37,39,31,27,41,,
940 110012305980,w1637,940 110012554430,2530,No Shade,13,59,29,49,38,27,80,58,38,42,51,53,39,51,102,88,28,89,66,74,64,
940 110012305980,w1637,940 110009538618,w192356,No Shade,8,32,28,29,24,56,35,26,71,25,26,5,7,6,4,,,,,,,
940 110012305980,w1637,940 110009423027,2635,No Shade,16,53,47,20,38,147,18,90,75,69,44,24,59,57,77,71,60,129,62,58,64,
940 110012305980,w1637,940 110012565504,2466,No Shade,19,71,77,26,18,29,19,39,99,61,74,82,40,65,116,46,38,90,86,43,169,
940 110012305980,w1637,940 110006720535,w192402,No Shade,8,42,30,44,33,18,36,34,41,67,52,63,47,58,46,18,49,46,30,30,55,
940 110012305980,w1637,940 110009539817,2540,No Shade,12,21,34,17,32,68,27,53,67,55,75,49,25,62,48,13,19,30,52,33,44,
940 110012305980,w1637,940 110009540984,W9513,No Shade,15,55,38,26,65,37,49,35,20,78,61,52,45,23,81,21,59,33,22,46,20,
940 110012305980,w1637,940 110009538917,2342,No Shade,18,23,10,38,13,49,31,40,39,30,18,34,52,25,27,22,38,27,36,25,22,
940 110012305980,w1637,940 110009539843,2388,No Shade,12,24,83,32,48,35,44,43,34,92,29,36,75,68,64,93,57,47,60,7,,
940 110012305980,w1637,940 110009422875,2517,No Shade,10,51,43,37,43,36,15,35,58,45,35,75,69,88,58,45,66,26,52,58,63,
940 110012305980,w1637,940 110009539369,W841,No Shade,11,52,16,30,76,43,18,69,45,59,49,37,68,61,91,97,53,64,97,82,96,
940 110012305980,w1637,940 110012553572,2528,No Shade,2,57,66,52,35,59,29,65,35,100,71,34,65,48,104,41,38,53,67,106,100,
940 110012305980,w1637,940 110006545070,2898,No Shade,15,42,72,50,27,48,31,38,59,81,112,118,115,50,75,47,47,77,47,36,56,
940 110012305980,w1637,940 110012567070,W280,No Shade,5,4,68,36,21,18,26,44,68,45,76,100,38,63,74,29,58,63,40,35,54,
940 110012305980,w1637,940 110009423147,W229,No Shade,3,25,18,40,22,46,37,37,57,31,18,61,36,60,112,33,63,90,65,82,84,
940 110012305980,w1637,940 110009540753,Y422,No Shade,18,6,24,34,12,65,153,5,28,21,36,66,69,28,131,13,15,24,24,9,,
940 110012305980,w1637,940 110006544447,3720,No Shade,4,12,25,39,27,45,52,40,42,20,67,44,34,60,61,13,32,21,39,39,29,
940 110012305980,w1637,940 110009540194,2930,No Shade,14,60,12,34,24,31,47,29,47,58,69,102,36,44,53,24,41,32,28,52,61,
940 110012305980,w1637,940 110009539352,2677,No Shade,11,39,19,17,45,47,19,40,50,55,41,21,26,50,39,25,72,59,42,20,32,
940 110012305980,w1637,940 110009540139,2695,No Shade,84,48,16,26,13,35,31,42,59,50,51,28,47,100,28,38,40,26,43,37,,
940 110012305980,w1637,940 110009538976,2583,No Shade,14,51,39,8,26,30,37,37,23,37,27,18,13,,,,,,,,,
940 110012305980,w1637,940 110009538609,Y1102,No Shade,14,19,41,46,52,31,59,43,40,49,39,43,98,30,53,58,45,47,33,90,31,
940 110012305980,w1637,940 110006720825,2567,No Shade,14,49,27,18,35,22,18,33,54,38,19,33,47,32,30,43,48,33,45,71,23,
940 110012305980,w1637,940 110012553817,W1771,No Shade,12,26,13,59,26,29,52,39,76,55,84,79,31,48,122,44,44,44,33,72,33,
940 110012305980,w1637,940 110006544551,W192170,No Shade,3,33,104,49,92,22,22,55,52,23,17,27,62,66,145,30,36,32,59,26,10,
940 110012305980,w1637,940 110009539773,2968,No Shade,19,22,32,43,23,89,30,23,36,48,30,58,39,32,133,41,41,33,40,70,66,
940 110012305980,w1637,940 110009540395,Y452,No Shade,20,29,37,42,34,26,55,35,53,34,22,62,113,56,69,24,21,28,29,27,66,
940 110012305980,w1637,940 110012565516,Y1053,No Shade,8,49,24,34,48,58,38,27,59,56,43,49,31,43,43,36,26,52,29,18,151,
940 110012305980,w1637,940 110006543882,W293,No Shade,26,29,12,14,30,49,53,52,42,55,47,33,64,73,78,45,24,69,114,60,100,
940 110012305980,w1637,940 110009538595,2672,No Shade,7,53,28,44,44,40,46,26,84,28,21,11,43,50,42,68,17,50,49,41,140,
940 110012305980,w1637,940 110009541386,W1540,No Shade,6,21,42,16,56,55,50,29,69,16,30,71,35,39,56,78,42,37,69,69,30,
940 110012305980,w1637,940 110009540871,W192301,No Shade,13,65,23,19,15,33,22,42,45,92,42,36,38,73,65,33,75,71,64,31,27,
940 110012305980,w1637,940 110012566859,2536,No Shade,10,35,50,67,67,51,54,40,65,50,67,38,51,48,112,36,98,55,95,61,112,
940 110012305980,w1637,940 110006544371,2625,No Shade,4,30,16,27,42,30,45,76,39,52,44,90,139,89,141,27,46,52,65,25,61,
940 110012305980,w1637,940 110009540453,3794,No Shade,17,21,41,44,27,23,37,52,55,49,87,41,90,62,56,76,30,40,37,21,4,
940 110012305980,w1637,940 110009538339,Y464,No Shade,14,42,19,23,23,24,52,12,48,45,45,24,107,38,50,26,70,49,28,42,17,
940 110012305980,w1637,940 110012553568,2401,No Shade,15,33,23,28,34,34,22,47,67,56,51,28,63,47,80,64,44,45,23,104,43,
940 110012305980,w1637,940 110009538770,2318,No Shade,15,33,34,31,35,17,43,37,48,39,36,111,20,23,55,26,49,27,28,36,64,
940 110012305980,w1637,940 110012565654,W9560,No Shade,5,124,38,48,32,77,30,29,59,28,32,45,34,59,44,51,62,28,43,17,32,
940 110012305980,w1637,940 110012553813,2593,No Shade,11,26,13,43,9,25,21,21,21,28,11,4,8,9,2,,,,,,,
940 110012305980,w1637,940 110012554149,W923,No Shade,28,38,40,28,50,33,38,48,64,73,130,80,112,39,119,76,57,58,113,75,,
940 110012305980,w1637,940 110009539841,2548,No Shade,17,22,37,26,30,30,20,93,30,39,28,50,31,44,37,22,45,52,85,62,41,
940 110012305980,w1637,940 110009538934,W1747,No Shade,18,28,58,19,9,32,39,33,61,72,31,37,43,23,16,40,42,29,35,35,16,
940 110012305980,w1637,940 110009541522,2438,No Shade,5,41,33,38,27,68,29,38,44,40,31,52,61,63,50,32,27,42,36,37,13,
940 110012305980,w1637,940 110012567013,2965,No Shade,6,24,41,31,22,36,76,87,49,35,49,77,47,123,76,18,33,52,42,72,24,
940 110012305980,w1637,940 110009540426,2463,No Shade,9,17,18,17,12,36,61,21,30,72,66,31,40,46,37,29,40,25,41,14,7,
940 110012305980,w1637,940 110009541497,2680,No Shade,9,20,35,63,49,62,45,65,92,83,107,44,57,63,57,4,35,63,71,21,,
940 110012305980,w1637,940 110009541612,w1741,No Shade,15,37,46,14,22,91,40,15,37,37,32,49,31,27,79,43,15,23,70,23,19,
940 110012305980,w1637,940 110009540097,2707,No Shade,13,15,21,26,36,61,30,31,22,102,68,37,22,44,60,26,37,30,29,33,29,
940 110012305980,w1637,940 110012567023,2512,No Shade,7,12,33,38,33,67,29,37,56,38,52,101,49,68,112,77,38,126,134,61,112,
940 110012305980,w1637,940 110006720451,2584,No Shade,15,18,49,32,53,31,21,33,76,41,22,95,100,63,51,21,46,45,31,9,,
940 110012305980,w1637,940 110012566754,w9283,No Shade,13,17,21,49,21,26,73,33,25,31,44,92,65,27,7,,,,,,,
940 110012305980,w1637,940 110009538750,3715,No Shade,12,28,64,51,43,24,40,76,45,47,31,31,31,92,61,81,31,49,60,42,63,
940 110012305980,w1637,940 110006544577,2608,No Shade,9,19,31,50,26,61,45,66,81,53,63,65,106,113,93,68,56,79,83,44,52,
940 110012305980,w1637,940 110009540821,2542,No Shade,3,73,26,56,51,62,23,37,37,45,38,58,57,28,57,70,71,40,24,99,,
940 110012305980,w1637,940 110009422827,2450,No Shade,6,35,47,30,31,40,35,37,60,27,42,63,71,68,89,57,43,72,69,64,34,
940 110012305980,w1637,940 110006720740,2977,No Shade,10,65,60,59,29,22,36,35,30,47,54,66,14,56,95,32,71,31,86,37,38,
940 110012305980,w1637,940 110009539590,2471,No Shade,21,27,43,15,31,18,45,61,21,53,38,45,70,50,32,22,75,47,31,40,66,
940 110012305980,w1637,940 110012565605,w192212,No Shade,4,44,28,35,42,58,67,24,36,47,44,95,46,60,56,26,45,46,61,37,,
940 110012305980,w1637,940 110009538728,2611,No Shade,20,21,34,34,35,51,50,20,42,31,60,66,29,34,79,52,67,56,37,56,25,
940 110012305980,w1637,940 110009538656,w768,No Shade,5,50,30,41,38,59,20,27,,,,,3,,,,7,,,,,
940 110012305980,w1637,940 110009539538,3745,No Shade,28,60,54,32,23,24,18,42,56,57,42,34,42,38,48,29,89,44,32,115,6,
940 110012305980,w1637,940 110006719959,2946,No Shade,13,30,24,24,29,26,33,39,22,48,32,11,24,40,92,37,40,45,18,4,,
940 110012305980,w1637,940 110009421856,w192145,No Shade,15,20,21,48,23,63,31,49,58,93,74,103,36,21,50,62,61,65,44,115,26,
940 110012305980,w1637,940 110012566899,Y488,No Shade,8,63,31,29,50,55,24,65,27,60,56,56,76,31,62,68,65,43,42,35,20,
940 110012305980,w1637,940 110009538594,2576,No Shade,20,45,22,14,53,53,31,39,67,55,37,45,78,67,56,31,38,30,47,14,,
940 110012305980,w1637,940 110009538666,Y1064,No Shade,19,82,26,73,45,46,31,30,40,75,54,48,27,17,103,23,36,37,15,54,59,
940 110012305980,w1637,940 110009539365,2988,No Shade,20,28,28,35,44,47,41,37,57,83,57,75,82,35,97,74,42,58,57,44,57,
940 110012305980,w1637,940 110006720550,2525,No Shade,24,47,37,25,74,36,93,46,20,52,23,50,27,45,47,22,41,41,33,24,,
940 110012305980,w1637,940 110009540288,2406,No Shade,9,18,20,39,24,30,19,23,24,45,36,27,26,,,,,,,,,
940 110012305980,w1637,940 110009539357,W192096,No Shade,11,23,37,49,13,19,32,42,47,37,78,31,62,58,59,79,36,69,28,40,44,
940 110012305980,w1637,940 110009540814,2397,No Shade,30,26,51,46,45,47,24,29,40,32,53,11,32,30,66,65,54,28,33,35,23,
940 110012305980,w1637,940 110009539082,3798,No Shade,15,19,82,42,27,88,49,56,44,54,58,43,30,77,43,64,50,63,32,34,,
940 110012305980,w1637,940 110012567032,w192236,No Shade,5,7,34,88,66,37,33,49,59,43,121,105,64,51,117,35,44,84,64,70,112,
940 110012305980,w1637,940 110009422259,2652,No Shade,3,29,15,35,84,27,49,44,38,57,40,98,88,44,76,79,34,46,55,36,8,
940 110012305980,w1637,940 110012566852,2896,No Shade,12,23,46,51,69,86,17,67,87,63,59,144,15,58,45,64,63,53,29,97,59,
940 110012305980,w1637,940 110009541075,W1552,No Shade,27,33,13,29,27,38,37,23,42,87,43,88,59,56,65,39,36,45,27,30,17,
940 110012305980,w1637,940 110009538695,W192286,No Shade,14,24,52,61,16,46,38,36,26,81,60,53,74,29,57,82,83,46,56,80,24,
940 110012305980,w1637,940 110009422194,2405,No Shade,21,27,78,27,51,36,44,45,61,35,28,40,39,32,40,54,60,30,40,58,,
940 110012305980,w1637,940 110012566439,2475,No Shade,7,13,31,63,32,32,45,56,43,34,46,70,74,36,66,45,31,32,43,67,150,
940 110012305980,w1637,940 110012554069,W788,No Shade,14,68,116,43,50,65,26,42,71,61,47,64,106,20,101,42,20,61,55,34,57,
940 110012305980,w1637,940 110009541648,2664,No Shade,13,34,63,34,45,37,57,75,60,42,65,43,56,44,70,50,77,93,50,57,37,
940 110012305980,w1637,940 110012554559,2429,No Shade,11,61,29,31,16,63,16,23,68,64,25,25,24,45,33,30,39,42,36,41,62,
940 110012305980,w1637,940 110009541057,w192346,No Shade,17,35,30,29,36,14,59,23,37,86,125,88,27,21,65,62,24,45,25,23,81,
940 110012305980,w1637,940 110009539086,w1547,No Shade,10,60,42,40,47,94,72,72,55,75,41,42,32,54,40,59,56,38,52,46,27,
940 110012305980,w1637,940 110006720157,Y1074,No Shade,16,23,35,59,35,50,51,89,45,52,74,66,87,98,154,43,43,49,101,82,9,
940 110012305980,w1637,940 110012567361,2577,No Shade,11,38,20,36,41,46,47,31,42,54,15,35,26,,,,,,,,,
940 110012305980,w1637,940 110009541144,W9559,No Shade,8,45,80,52,16,33,62,23,49,27,52,33,32,101,28,98,22,66,39,27,24,
940 110012305980,w1637,940 110012554703,2632,No Shade,17,38,43,43,58,32,20,44,40,51,32,46,80,2,,,,,,,,
940 110012305980,w1637,940 110009538619,W952,No Shade,18,14,48,94,40,50,57,60,26,125,24,20,25,36,36,55,54,33,21,,,
940 110012305980,w1637,940 110012554665,2937,No Shade,13,48,33,30,147,35,53,84,65,31,29,52,33,40,97,22,45,53,28,75,6,
940 110012305980,w1637,940 110006719427,2339,No Shade,25,31,30,33,57,51,33,58,60,55,69,79,34,51,89,82,73,99,82,182,105,
940 110012305980,w1637,940 110009541333,w192437,No Shade,12,39,16,27,20,41,39,27,43,95,79,116,85,51,63,43,34,30,54,50,66,
940 110012305980,w1637,940 110012567577,W993,No Shade,6,24,56,88,79,44,48,57,60,54,30,25,34,77,107,38,55,44,49,80,55,
940 110012305980,w1637,940 110009530573,W1754,No Shade,12,36,27,34,58,35,46,70,53,58,41,10,13,24,8,,,,,,,
940 110012305980,w1637,940 110009422306,2415,No Shade,16,25,22,13,16,42,23,13,20,11,11,21,159,16,49,20,23,61,30,26,24,
940 110012305980,w1637,940 110012554759,W1609,No Shade,67,38,59,54,31,34,35,40,26,40,12,8,46,27,66,29,50,60,27,34,,
940 110012305980,w1637,940 110009540560,W192436,No Shade,26,22,27,38,58,46,36,29,51,92,56,118,92,31,26,38,45,22,48,26,13,
940 110012305980,w1637,940 110009540104,w192057,No Shade,17,27,23,68,18,73,24,85,37,58,47,40,19,49,47,34,49,86,50,21,30,
940 110012305980,w1637,940 110006720732,2673,No Shade,8,25,57,30,37,37,14,43,36,80,59,28,24,49,70,24,62,39,50,48,28,
940 110012305980,w1637,940 110012554697,2329,No Shade,7,54,76,39,59,36,43,31,54,45,99,67,31,70,99,72,38,73,19,92,77,
940 110012305980,w1637,940 110012554102,w1562,No Shade,18,35,44,56,64,43,30,51,67,56,133,135,53,38,56,63,43,48,64,32,66,
940 110012305980,w1637,940 110009538759,2481,No Shade,8,14,20,34,26,40,48,26,39,57,46,76,73,41,41,57,33,51,84,83,22,
940 110012305980,w1637,940 110009539138,2524,No Shade,7,32,29,43,19,37,65,15,23,68,50,74,26,73,46,39,31,62,46,31,,
940 110012305980,w1637,940 110006718507,W192313,No Shade,30,73,24,71,56,58,56,66,29,93,23,118,47,42,60,48,32,43,125,150,10,
940 110012305980,w1637,940 110006544076,3770,No Shade,17,64,51,52,32,25,37,36,60,53,26,40,56,79,44,29,50,30,39,64,10,
940 110012305980,w1637,940 110012553844,w192051,No Shade,5,34,24,27,44,44,18,49,50,77,49,71,41,70,79,58,33,68,95,46,82,
940 110012305980,w1637,940 110009540303,Y1115,No Shade,5,27,21,41,41,33,23,43,62,70,49,49,39,56,87,42,47,44,55,69,122,
940 110012305980,w1637,940 110012567833,2539,No Shade,22,28,58,77,41,39,30,59,63,33,36,18,73,143,82,57,101,68,95,61,121,
940 110012305980,w1637,940 110009540316,3749,No Shade,14,44,64,22,31,24,41,54,81,36,36,43,50,64,95,57,28,81,87,83,26,
940 110012305980,w1637,940 110009539735,2570,No Shade,21,58,28,42,25,62,33,67,87,85,81,68,66,77,33,49,30,76,57,,,
940 110012305980,w1637,940 110012554425,2495,No Shade,16,43,72,100,73,48,49,86,82,65,79,35,64,81,58,57,51,85,57,40,51,
940 110012305980,w1637,940 110012567497,2924,No Shade,24,35,25,36,34,33,39,33,51,26,121,16,40,77,39,56,33,37,37,33,,
940 110012305980,w1637,940 110009539060,W1612,No Shade,13,40,16,34,36,29,58,18,24,27,52,12,37,55,48,12,60,51,25,,,
940 110012305980,w1637,940 110009541579,w192325,No Shade,9,95,14,21,42,88,41,19,47,29,31,25,,,,,,,,,,
940 110012305980,w1637,940 110012565591,2491,No Shade,23,33,52,25,10,34,56,36,48,96,24,35,41,40,37,42,104,22,37,38,38,
940 110012305980,w1637,940 110009541499,w192256,No Shade,11,73,47,54,111,36,42,35,36,31,28,15,3,,,,,,,,,
940 110012305980,w1637,940 110009541605,2687,No Shade,18,89,26,12,53,59,32,49,72,66,65,40,61,115,81,60,54,69,74,98,11,
940 110012305980,w1637,940 110009539789,W192223,No Shade,14,17,58,51,33,61,31,82,84,61,24,84,59,50,63,40,47,52,23,93,27,
940 110012305980,w1637,940 110012566374,2532,No Shade,20,16,53,31,35,35,14,18,69,54,92,87,39,92,101,42,28,42,64,49,7,
940 110012305980,w1637,940 110006544245,2929,No Shade,16,51,48,34,9,36,21,46,42,31,25,32,37,61,63,25,95,72,41,42,21,
940 110012305980,w1637,940 110006544786,W9511,No Shade,5,46,64,37,63,38,29,55,46,75,59,24,27,123,69,65,70,52,51,34,30,
940 110012305980,w1637,940 110009539563,w192086,No Shade,7,26,30,16,14,33,13,101,36,35,27,58,96,44,122,53,45,61,70,30,57,
940 110012305980,w1637,940 110009539851,3759,No Shade,22,34,28,49,23,19,40,42,26,50,10,16,13,12,2,,,,,,,
940 110012305980,w1637,940 110009540534,W765,No Shade,3,22,22,21,31,31,18,31,41,53,45,17,52,41,64,67,68,30,39,17,94,
940 110012305980,w1637,940 110006720785,2710,No Shade,24,49,64,54,64,55,29,62,149,82,58,56,59,121,130,68,97,73,88,56,129,
940 110012305980,w1637,940 110009540716,2101,No Shade,12,54,41,28,27,44,60,52,81,43,172,61,77,24,51,75,64,18,59,37,28,
940 110012305980,w1637,940 110006544542,3735,No Shade,11,36,79,26,32,50,54,53,48,45,49,41,49,52,73,45,21,43,80,94,108,
940 110012305980,w1637,940 110012567496,o21,No Shade,20,41,49,64,65,24,30,34,78,32,86,89,38,62,59,58,80,93,48,37,187,
940 110012305980,w1637,940 110009540648,W192004,No Shade,5,31,64,29,37,29,46,26,68,71,78,26,,,,,,,,,,
940 110012305980,w1637,940 110009538686,2482,No Shade,9,37,84,33,53,42,79,67,64,42,25,46,79,65,125,62,69,75,55,24,70,
940 110012305980,w1637,940 110006543874,Y499,No Shade,15,39,52,30,34,30,23,42,102,79,86,69,56,47,117,43,43,107,82,18,,
940 110012305980,w1637,940 110006544572,2617,No Shade,7,28,28,19,34,67,26,51,55,88,45,35,40,40,50,47,37,40,38,31,49,
940 110012305980,w1637,940 110009540770,2427,No Shade,10,20,35,32,23,11,37,39,48,34,34,25,52,34,60,56,48,39,45,38,102,
940 110012305980,w1637,940 110006720713,2519,No Shade,8,36,45,29,35,38,90,45,58,45,46,29,81,67,48,58,26,87,31,50,69,
940 110012305980,w1637,940 110009422169,W1683,No Shade,2,18,16,31,19,20,67,27,74,63,63,42,39,5,8,,,,,,,
940 110012305980,w1637,940 110012567072,2952,No Shade,5,19,27,51,52,49,35,27,66,170,55,46,81,87,87,37,67,37,66,29,67,
940 110012305980,w1637,940 110012567439,3797,No Shade,21,14,27,15,52,28,58,67,44,88,95,57,80,38,102,164,23,25,19,31,64,
940 110012305980,w1637,940 110009421841,2582,No Shade,28,17,25,46,38,42,54,32,34,59,65,77,51,74,60,85,90,39,69,21,,
940 110012305980,w1637,940 110012567561,2445,No Shade,12,18,77,33,64,48,43,53,79,41,68,40,67,67,87,57,48,48,71,87,57,
940 110012305980,w1637,940 110012565646,w1578,No Shade,11,11,118,59,89,35,59,48,47,37,45,47,62,65,61,74,55,79,55,59,154,
940 110012305980,w1637,940 110006543809,2616,No Shade,4,116,26,90,26,27,46,35,45,36,58,73,74,75,49,15,44,36,28,70,55,
940 110012305980,w1637,940 110009540226,W766,No Shade,7,19,35,48,56,35,34,62,35,18,50,26,4,4,13,,,,,,,
940 110012305980,w1637,940 110009539736,y1110,No Shade,10,41,52,49,47,61,30,94,55,40,24,34,47,122,87,81,45,65,97,102,62,
940 110012305980,w1637,940 110012566524,W192361,No Shade,26,6,21,26,61,45,37,62,51,146,52,17,87,42,87,78,27,91,65,50,90,
940 110012305980,w1637,940 110009423267,2600,No Shade,10,32,30,63,42,45,36,67,25,46,38,9,32,38,34,39,74,44,45,36,3,
940 110012305980,w1637,940 110009423076,2967,No Shade,5,32,69,58,31,41,28,43,71,25,48,123,78,51,98,17,50,54,70,49,8,
940 110012305980,w1637,940 110009539903,w192523,No Shade,11,24,17,42,26,30,42,38,73,167,62,18,27,50,45,32,52,48,24,47,32,
